"datetime","date","level-i-900-m-qualified","epoch"
"2021-01-02 00:00:00","2021-01-02",0.202,1609545600000
"2021-01-02 00:15:00","2021-01-02",0.201,1609546500000
"2021-01-02 00:30:00","2021-01-02",0.2,1609547400000
"2021-01-02 00:45:00","2021-01-02",0.2,1609548300000
"2021-01-02 01:00:00","2021-01-02",0.199,1609549200000
"2021-01-02 01:15:00","2021-01-02",0.198,1609550100000
"2021-01-02 01:30:00","2021-01-02",0.197,1609551000000
"2021-01-02 01:45:00","2021-01-02",0.196,1609551900000
"2021-01-02 02:00:00","2021-01-02",0.196,1609552800000
"2021-01-02 02:15:00","2021-01-02",0.195,1609553700000
"2021-01-02 02:30:00","2021-01-02",0.195,1609554600000
"2021-01-02 02:45:00","2021-01-02",0.194,1609555500000
"2021-01-02 03:00:00","2021-01-02",0.192,1609556400000
"2021-01-02 03:15:00","2021-01-02",0.191,1609557300000
"2021-01-02 03:30:00","2021-01-02",0.19,1609558200000
"2021-01-02 03:45:00","2021-01-02",0.189,1609559100000
"2021-01-02 04:00:00","2021-01-02",0.189,1609560000000
"2021-01-02 04:15:00","2021-01-02",0.188,1609560900000
"2021-01-02 04:30:00","2021-01-02",0.188,1609561800000
"2021-01-02 04:45:00","2021-01-02",0.187,1609562700000
"2021-01-02 05:00:00","2021-01-02",0.186,1609563600000
"2021-01-02 05:15:00","2021-01-02",0.185,1609564500000
"2021-01-02 05:30:00","2021-01-02",0.183,1609565400000
"2021-01-02 05:45:00","2021-01-02",0.182,1609566300000
"2021-01-02 06:00:00","2021-01-02",0.182,1609567200000
"2021-01-02 06:15:00","2021-01-02",0.181,1609568100000
"2021-01-02 06:30:00","2021-01-02",0.18,1609569000000
"2021-01-02 06:45:00","2021-01-02",0.179,1609569900000
"2021-01-02 07:00:00","2021-01-02",0.178,1609570800000
"2021-01-02 07:15:00","2021-01-02",0.177,1609571700000
"2021-01-02 07:30:00","2021-01-02",0.177,1609572600000
"2021-01-02 07:45:00","2021-01-02",0.176,1609573500000
"2021-01-02 08:00:00","2021-01-02",0.176,1609574400000
"2021-01-02 08:15:00","2021-01-02",0.174,1609575300000
"2021-01-02 08:30:00","2021-01-02",0.172,1609576200000
"2021-01-02 08:45:00","2021-01-02",0.172,1609577100000
"2021-01-02 09:00:00","2021-01-02",0.171,1609578000000
"2021-01-02 09:15:00","2021-01-02",0.17,1609578900000
"2021-01-02 09:30:00","2021-01-02",0.17,1609579800000
"2021-01-02 09:45:00","2021-01-02",0.169,1609580700000
"2021-01-02 10:00:00","2021-01-02",0.168,1609581600000
"2021-01-02 10:15:00","2021-01-02",0.167,1609582500000
"2021-01-02 10:30:00","2021-01-02",0.166,1609583400000
"2021-01-02 10:45:00","2021-01-02",0.165,1609584300000
"2021-01-02 11:00:00","2021-01-02",0.164,1609585200000
"2021-01-02 11:15:00","2021-01-02",0.163,1609586100000
"2021-01-02 11:30:00","2021-01-02",0.163,1609587000000
"2021-01-02 11:45:00","2021-01-02",0.161,1609587900000
"2021-01-02 12:00:00","2021-01-02",0.16,1609588800000
"2021-01-02 12:15:00","2021-01-02",0.159,1609589700000
"2021-01-02 12:30:00","2021-01-02",0.158,1609590600000
"2021-01-02 12:45:00","2021-01-02",0.157,1609591500000
"2021-01-02 13:00:00","2021-01-02",0.156,1609592400000
"2021-01-02 13:15:00","2021-01-02",0.156,1609593300000
"2021-01-02 13:30:00","2021-01-02",0.154,1609594200000
"2021-01-02 13:45:00","2021-01-02",0.153,1609595100000
