"datetime","date","amm-i-subdaily-mgL","epoch"
"2019-01-02 00:02:11","2019-01-02",0.518,1546387331000
"2019-01-02 00:17:11","2019-01-02",0.506,1546388231000
"2019-01-02 00:32:11","2019-01-02",0.613,1546389131000
"2019-01-02 00:47:11","2019-01-02",0.652,1546390031000
"2019-01-02 01:02:12","2019-01-02",0.64,1546390932000
"2019-01-02 01:17:12","2019-01-02",0.658,1546391832000
"2019-01-02 01:32:12","2019-01-02",0.68,1546392732000
"2019-01-02 01:47:12","2019-01-02",0.628,1546393632000
"2019-01-02 02:02:12","2019-01-02",0.553,1546394532000
"2019-01-02 02:17:11","2019-01-02",0.522,1546395431000
"2019-01-02 02:32:11","2019-01-02",0.493,1546396331000
"2019-01-02 02:47:12","2019-01-02",0.513,1546397232000
"2019-01-02 03:02:12","2019-01-02",0.472,1546398132000
"2019-01-02 03:17:12","2019-01-02",0.462,1546399032000
"2019-01-02 03:32:11","2019-01-02",0.461,1546399931000
"2019-01-02 03:47:11","2019-01-02",0.486,1546400831000
"2019-01-02 04:02:12","2019-01-02",0.531,1546401732000
"2019-01-02 04:17:12","2019-01-02",0.556,1546402632000
"2019-01-02 04:32:12","2019-01-02",0.569,1546403532000
"2019-01-02 04:47:12","2019-01-02",0.59,1546404432000
"2019-01-02 05:02:12","2019-01-02",0.608,1546405332000
"2019-01-02 05:17:13","2019-01-02",0.564,1546406233000
"2019-01-02 05:32:12","2019-01-02",0.561,1546407132000
"2019-01-02 05:47:12","2019-01-02",0.551,1546408032000
"2019-01-02 06:02:12","2019-01-02",0.545,1546408932000
"2019-01-02 06:17:12","2019-01-02",0.542,1546409832000
"2019-01-02 06:32:12","2019-01-02",0.539,1546410732000
"2019-01-02 06:47:12","2019-01-02",0.531,1546411632000
"2019-01-02 07:02:11","2019-01-02",0.536,1546412531000
"2019-01-02 07:17:12","2019-01-02",0.529,1546413432000
"2019-01-02 07:32:12","2019-01-02",0.519,1546414332000
"2019-01-02 07:47:12","2019-01-02",0.505,1546415232000
