"datetime","date","cond-i-subdaily-uS","epoch"
"2021-01-02 00:02:14","2021-01-02",480.0,1609545734000
"2021-01-02 00:17:11","2021-01-02",479.0,1609546631000
"2021-01-02 00:32:11","2021-01-02",480.0,1609547531000
"2021-01-02 00:47:12","2021-01-02",481.0,1609548432000
"2021-01-02 01:02:11","2021-01-02",480.0,1609549331000
"2021-01-02 01:17:11","2021-01-02",481.0,1609550231000
"2021-01-02 01:32:11","2021-01-02",480.0,1609551131000
"2021-01-02 01:47:12","2021-01-02",482.0,1609552032000
"2021-01-02 02:02:11","2021-01-02",480.0,1609552931000
"2021-01-02 02:17:11","2021-01-02",481.0,1609553831000
"2021-01-02 02:32:11","2021-01-02",479.0,1609554731000
"2021-01-02 02:47:11","2021-01-02",480.0,1609555631000
"2021-01-02 03:02:11","2021-01-02",479.0,1609556531000
"2021-01-02 03:17:11","2021-01-02",480.0,1609557431000
"2021-01-02 03:32:11","2021-01-02",480.0,1609558331000
"2021-01-02 03:47:11","2021-01-02",475.0,1609559231000
"2021-01-02 04:02:11","2021-01-02",478.0,1609560131000
"2021-01-02 04:17:11","2021-01-02",480.0,1609561031000
"2021-01-02 04:32:11","2021-01-02",485.0,1609561931000
"2021-01-02 04:47:11","2021-01-02",486.0,1609562831000
"2021-01-02 05:02:11","2021-01-02",482.0,1609563731000
"2021-01-02 05:17:11","2021-01-02",474.0,1609564631000
"2021-01-02 05:32:11","2021-01-02",472.0,1609565531000
"2021-01-02 05:47:11","2021-01-02",471.0,1609566431000
"2021-01-02 06:02:11","2021-01-02",472.0,1609567331000
"2021-01-02 06:17:11","2021-01-02",472.0,1609568231000
"2021-01-02 06:32:11","2021-01-02",472.0,1609569131000
"2021-01-02 06:47:11","2021-01-02",471.0,1609570031000
"2021-01-02 07:02:11","2021-01-02",473.0,1609570931000
"2021-01-02 07:17:11","2021-01-02",473.0,1609571831000
"2021-01-02 07:32:11","2021-01-02",474.0,1609572731000
"2021-01-02 07:47:11","2021-01-02",473.0,1609573631000
"2021-01-02 08:02:11","2021-01-02",473.0,1609574531000
"2021-01-02 08:17:14","2021-01-02",474.0,1609575434000
"2021-01-02 08:32:11","2021-01-02",475.0,1609576331000
"2021-01-02 08:47:11","2021-01-02",476.0,1609577231000
"2021-01-02 09:02:11","2021-01-02",476.0,1609578131000
"2021-01-02 09:17:11","2021-01-02",477.0,1609579031000
"2021-01-02 09:32:11","2021-01-02",477.0,1609579931000
"2021-01-02 09:47:11","2021-01-02",477.0,1609580831000
"2021-01-02 10:02:11","2021-01-02",478.0,1609581731000
"2021-01-02 10:17:11","2021-01-02",479.0,1609582631000
"2021-01-02 10:32:11","2021-01-02",479.0,1609583531000
"2021-01-02 10:47:11","2021-01-02",480.0,1609584431000
"2021-01-02 11:02:11","2021-01-02",480.0,1609585331000
"2021-01-02 11:17:11","2021-01-02",481.0,1609586231000
