"datetime","date","ph-i-subdaily","epoch"
"2022-01-02 00:02:11","2022-01-02",7.92,1641081731000
"2022-01-02 00:17:11","2022-01-02",7.95,1641082631000
"2022-01-02 00:32:11","2022-01-02",7.93,1641083531000
"2022-01-02 00:47:13","2022-01-02",7.94,1641084433000
"2022-01-02 01:02:11","2022-01-02",7.95,1641085331000
"2022-01-02 01:17:11","2022-01-02",7.95,1641086231000
"2022-01-02 01:32:11","2022-01-02",7.95,1641087131000
"2022-01-02 01:47:11","2022-01-02",7.95,1641088031000
"2022-01-02 02:02:11","2022-01-02",7.94,1641088931000
"2022-01-02 02:17:11","2022-01-02",7.95,1641089831000
"2022-01-02 02:32:11","2022-01-02",7.84,1641090731000
"2022-01-02 02:47:13","2022-01-02",7.79,1641091633000
"2022-01-02 03:02:11","2022-01-02",7.86,1641092531000
"2022-01-02 03:17:11","2022-01-02",7.97,1641093431000
"2022-01-02 03:32:11","2022-01-02",7.99,1641094331000
"2022-01-02 03:47:11","2022-01-02",7.99,1641095231000
"2022-01-02 04:02:11","2022-01-02",7.98,1641096131000
"2022-01-02 04:17:11","2022-01-02",8.0,1641097031000
"2022-01-02 04:32:14","2022-01-02",7.99,1641097934000
"2022-01-02 04:47:11","2022-01-02",8.0,1641098831000
"2022-01-02 05:02:11","2022-01-02",7.99,1641099731000
"2022-01-02 05:17:11","2022-01-02",8.0,1641100631000
"2022-01-02 05:32:11","2022-01-02",7.99,1641101531000
"2022-01-02 05:47:11","2022-01-02",7.98,1641102431000
"2022-01-02 06:02:13","2022-01-02",7.92,1641103333000
"2022-01-02 06:17:11","2022-01-02",7.96,1641104231000
"2022-01-02 06:32:11","2022-01-02",7.97,1641105131000
"2022-01-02 06:47:11","2022-01-02",7.96,1641106031000
"2022-01-02 07:02:12","2022-01-02",7.97,1641106932000
"2022-01-02 07:17:11","2022-01-02",7.99,1641107831000
"2022-01-02 07:47:11","2022-01-02",8.0,1641109631000
"2022-01-02 08:02:14","2022-01-02",7.99,1641110534000
"2022-01-02 08:17:11","2022-01-02",7.99,1641111431000
"2022-01-02 08:32:11","2022-01-02",7.99,1641112331000
"2022-01-02 08:47:11","2022-01-02",7.98,1641113231000
"2022-01-02 09:02:11","2022-01-02",7.99,1641114131000
"2022-01-02 09:17:11","2022-01-02",7.99,1641115031000
"2022-01-02 09:32:12","2022-01-02",7.98,1641115932000
"2022-01-02 09:47:11","2022-01-02",7.97,1641116831000
"2022-01-02 10:02:11","2022-01-02",7.98,1641117731000
"2022-01-02 10:17:12","2022-01-02",7.97,1641118632000
"2022-01-02 10:32:11","2022-01-02",7.98,1641119531000
"2022-01-02 10:47:11","2022-01-02",8.0,1641120431000
"2022-01-02 11:02:11","2022-01-02",8.0,1641121331000
"2022-01-02 11:17:11","2022-01-02",7.99,1641122231000
"2022-01-02 11:32:11","2022-01-02",8.02,1641123131000
"2022-01-02 11:47:11","2022-01-02",8.03,1641124031000
"2022-01-02 12:02:11","2022-01-02",8.0,1641124931000
"2022-01-02 12:17:12","2022-01-02",8.01,1641125832000
"2022-01-02 12:32:11","2022-01-02",8.02,1641126731000
"2022-01-02 12:47:11","2022-01-02",8.01,1641127631000
"2022-01-02 13:02:11","2022-01-02",8.01,1641128531000
"2022-01-02 13:17:11","2022-01-02",8.01,1641129431000
"2022-01-02 13:32:12","2022-01-02",8.01,1641130332000
"2022-01-02 13:47:11","2022-01-02",8.0,1641131231000
"2022-01-02 14:02:11","2022-01-02",8.01,1641132131000
"2022-01-02 14:17:11","2022-01-02",8.01,1641133031000
"2022-01-02 14:32:11","2022-01-02",8.01,1641133931000
"2022-01-02 14:47:11","2022-01-02",7.85,1641134831000
"2022-01-02 15:02:11","2022-01-02",7.85,1641135731000
"2022-01-02 15:17:11","2022-01-02",7.87,1641136631000
"2022-01-02 15:32:11","2022-01-02",7.97,1641137531000
"2022-01-02 15:47:11","2022-01-02",7.99,1641138431000
"2022-01-02 16:02:11","2022-01-02",8.0,1641139331000
"2022-01-02 16:17:11","2022-01-02",8.0,1641140231000
"2022-01-02 16:32:11","2022-01-02",7.99,1641141131000
"2022-01-02 16:47:11","2022-01-02",7.99,1641142031000
"2022-01-02 17:02:11","2022-01-02",7.99,1641142931000
"2022-01-02 17:17:11","2022-01-02",7.97,1641143831000
"2022-01-02 17:32:11","2022-01-02",7.97,1641144731000
"2022-01-02 17:47:11","2022-01-02",7.98,1641145631000
"2022-01-02 18:02:11","2022-01-02",7.96,1641146531000
"2022-01-02 18:17:11","2022-01-02",7.97,1641147431000
"2022-01-02 18:32:11","2022-01-02",7.86,1641148331000
"2022-01-02 18:47:11","2022-01-02",7.86,1641149231000
"2022-01-02 19:02:11","2022-01-02",7.88,1641150131000
"2022-01-02 19:17:11","2022-01-02",7.89,1641151031000
"2022-01-02 19:32:11","2022-01-02",7.9,1641151931000
"2022-01-02 19:47:11","2022-01-02",7.9,1641152831000
"2022-01-02 20:02:13","2022-01-02",7.92,1641153733000
"2022-01-02 20:17:11","2022-01-02",7.9,1641154631000
"2022-01-02 20:32:11","2022-01-02",7.92,1641155531000
"2022-01-02 20:47:11","2022-01-02",7.92,1641156431000
"2022-01-02 21:02:14","2022-01-02",7.93,1641157334000
"2022-01-02 21:17:11","2022-01-02",7.9,1641158231000
"2022-01-02 21:32:11","2022-01-02",7.91,1641159131000
"2022-01-02 21:47:11","2022-01-02",7.92,1641160031000
"2022-01-02 22:02:12","2022-01-02",7.91,1641160932000
"2022-01-02 22:17:11","2022-01-02",7.89,1641161831000
"2022-01-02 22:32:14","2022-01-02",7.91,1641162734000
"2022-01-02 22:47:11","2022-01-02",7.94,1641163631000
"2022-01-02 23:02:11","2022-01-02",7.93,1641164531000
"2022-01-02 23:17:11","2022-01-02",7.93,1641165431000
"2022-01-02 23:32:11","2022-01-02",7.97,1641166331000
"2022-01-02 23:47:11","2022-01-02",7.9,1641167231000
"2022-01-03 00:02:11","2022-01-03",7.96,1641168131000
"2022-01-03 00:17:11","2022-01-03",8.0,1641169031000
"2022-01-03 00:32:14","2022-01-03",7.97,1641169934000
