"datetime","date","sal-i-subdaily-psu","epoch"
"2022-01-02 00:02:11","2022-01-02",0.2932,1641081731000
"2022-01-02 00:17:11","2022-01-02",0.2874,1641082631000
"2022-01-02 00:32:11","2022-01-02",0.2909,1641083531000
"2022-01-02 00:47:13","2022-01-02",0.2932,1641084433000
"2022-01-02 01:02:11","2022-01-02",0.2846,1641085331000
"2022-01-02 01:17:11","2022-01-02",0.2765,1641086231000
"2022-01-02 01:32:11","2022-01-02",0.2909,1641087131000
"2022-01-02 01:47:11","2022-01-02",0.2777,1641088031000
"2022-01-02 02:02:11","2022-01-02",0.2817,1641088931000
"2022-01-02 02:17:11","2022-01-02",0.2834,1641089831000
"2022-01-02 02:32:11","2022-01-02",0.3007,1641090731000
"2022-01-02 02:47:13","2022-01-02",0.3036,1641091633000
"2022-01-02 03:02:11","2022-01-02",0.2926,1641092531000
"2022-01-02 03:17:11","2022-01-02",0.2817,1641093431000
"2022-01-02 03:32:11","2022-01-02",0.2788,1641094331000
"2022-01-02 03:47:11","2022-01-02",0.2748,1641095231000
"2022-01-02 04:02:11","2022-01-02",0.2782,1641096131000
"2022-01-02 04:17:11","2022-01-02",0.2788,1641097031000
"2022-01-02 04:32:14","2022-01-02",0.2782,1641097934000
"2022-01-02 04:47:11","2022-01-02",0.2794,1641098831000
"2022-01-02 05:02:11","2022-01-02",0.28,1641099731000
"2022-01-02 05:17:11","2022-01-02",0.2771,1641100631000
"2022-01-02 05:32:11","2022-01-02",0.2823,1641101531000
"2022-01-02 05:47:11","2022-01-02",0.2782,1641102431000
"2022-01-02 06:02:13","2022-01-02",0.3076,1641103333000
"2022-01-02 06:17:11","2022-01-02",0.2886,1641104231000
"2022-01-02 06:32:11","2022-01-02",0.2932,1641105131000
"2022-01-02 06:47:11","2022-01-02",0.2938,1641106031000
"2022-01-02 07:02:12","2022-01-02",0.2944,1641106932000
"2022-01-02 07:17:11","2022-01-02",0.2909,1641107831000
"2022-01-02 07:47:11","2022-01-02",0.2863,1641109631000
"2022-01-02 08:02:14","2022-01-02",0.292,1641110534000
"2022-01-02 08:17:11","2022-01-02",0.2978,1641111431000
"2022-01-02 08:32:11","2022-01-02",0.2972,1641112331000
"2022-01-02 08:47:11","2022-01-02",0.2955,1641113231000
"2022-01-02 09:02:11","2022-01-02",0.2938,1641114131000
"2022-01-02 09:17:11","2022-01-02",0.2955,1641115031000
"2022-01-02 09:32:12","2022-01-02",0.2886,1641115932000
"2022-01-02 09:47:11","2022-01-02",0.3047,1641116831000
"2022-01-02 10:02:11","2022-01-02",0.3001,1641117731000
"2022-01-02 10:17:12","2022-01-02",0.3007,1641118632000
"2022-01-02 10:32:11","2022-01-02",0.292,1641119531000
"2022-01-02 10:47:11","2022-01-02",0.2903,1641120431000
"2022-01-02 11:02:11","2022-01-02",0.3053,1641121331000
"2022-01-02 11:17:11","2022-01-02",0.2944,1641122231000
"2022-01-02 11:32:11","2022-01-02",0.2961,1641123131000
"2022-01-02 11:47:11","2022-01-02",0.2932,1641124031000
"2022-01-02 12:02:11","2022-01-02",0.2972,1641124931000
"2022-01-02 12:17:12","2022-01-02",0.292,1641125832000
"2022-01-02 12:32:11","2022-01-02",0.2886,1641126731000
"2022-01-02 12:47:11","2022-01-02",0.2828,1641127631000
"2022-01-02 13:02:11","2022-01-02",0.2897,1641128531000
"2022-01-02 13:17:11","2022-01-02",0.2972,1641129431000
"2022-01-02 13:32:12","2022-01-02",0.3007,1641130332000
"2022-01-02 13:47:11","2022-01-02",0.2869,1641131231000
"2022-01-02 14:02:11","2022-01-02",0.2995,1641132131000
"2022-01-02 14:17:11","2022-01-02",0.2897,1641133031000
"2022-01-02 14:32:11","2022-01-02",0.2886,1641133931000
"2022-01-02 14:47:11","2022-01-02",0.2972,1641134831000
"2022-01-02 15:02:11","2022-01-02",0.3041,1641135731000
"2022-01-02 15:17:11","2022-01-02",0.2972,1641136631000
"2022-01-02 15:32:11","2022-01-02",0.3375,1641137531000
"2022-01-02 15:47:11","2022-01-02",0.292,1641138431000
"2022-01-02 16:02:11","2022-01-02",0.3156,1641139331000
"2022-01-02 16:17:11","2022-01-02",0.3283,1641140231000
"2022-01-02 16:32:11","2022-01-02",0.3133,1641141131000
"2022-01-02 16:47:11","2022-01-02",0.3179,1641142031000
"2022-01-02 17:02:11","2022-01-02",0.2817,1641142931000
"2022-01-02 17:17:11","2022-01-02",0.2857,1641143831000
"2022-01-02 17:32:11","2022-01-02",0.2857,1641144731000
"2022-01-02 17:47:11","2022-01-02",0.2874,1641145631000
"2022-01-02 18:02:11","2022-01-02",0.2863,1641146531000
"2022-01-02 18:17:11","2022-01-02",0.2897,1641147431000
"2022-01-02 18:32:11","2022-01-02",0.299,1641148331000
"2022-01-02 18:47:11","2022-01-02",0.3018,1641149231000
"2022-01-02 19:02:11","2022-01-02",0.3001,1641150131000
"2022-01-02 19:17:11","2022-01-02",0.299,1641151031000
"2022-01-02 19:32:11","2022-01-02",0.2972,1641151931000
"2022-01-02 19:47:11","2022-01-02",0.3007,1641152831000
"2022-01-02 20:02:13","2022-01-02",0.3007,1641153733000
"2022-01-02 20:17:11","2022-01-02",0.3018,1641154631000
"2022-01-02 20:32:11","2022-01-02",0.2984,1641155531000
"2022-01-02 20:47:11","2022-01-02",0.299,1641156431000
"2022-01-02 21:02:14","2022-01-02",0.3001,1641157334000
"2022-01-02 21:17:11","2022-01-02",0.2978,1641158231000
"2022-01-02 21:32:11","2022-01-02",0.3116,1641159131000
"2022-01-02 21:47:11","2022-01-02",0.3139,1641160031000
"2022-01-02 22:02:12","2022-01-02",0.3087,1641160932000
"2022-01-02 22:17:11","2022-01-02",0.3151,1641161831000
"2022-01-02 22:32:14","2022-01-02",0.3197,1641162734000
"2022-01-02 22:47:11","2022-01-02",0.3151,1641163631000
"2022-01-02 23:02:11","2022-01-02",0.3105,1641164531000
"2022-01-02 23:17:11","2022-01-02",0.303,1641165431000
"2022-01-02 23:32:11","2022-01-02",0.3409,1641166331000
"2022-01-02 23:47:11","2022-01-02",0.3105,1641167231000
"2022-01-03 00:02:11","2022-01-03",0.3018,1641168131000
"2022-01-03 00:17:11","2022-01-03",0.2972,1641169031000
"2022-01-03 00:32:14","2022-01-03",0.307,1641169934000
"2022-01-03 00:47:11","2022-01-03",0.3162,1641170831000
"2022-01-03 01:02:11","2022-01-03",0.307,1641171731000
"2022-01-03 01:17:11","2022-01-03",0.3018,1641172631000
"2022-01-03 01:32:11","2022-01-03",0.3059,1641173531000
"2022-01-03 01:47:14","2022-01-03",0.2995,1641174434000
"2022-01-03 02:02:11","2022-01-03",0.3041,1641175331000
"2022-01-03 02:17:12","2022-01-03",0.3018,1641176232000
"2022-01-03 02:32:11","2022-01-03",0.3191,1641177131000
"2022-01-03 02:47:11","2022-01-03",0.3001,1641178031000
"2022-01-03 03:02:11","2022-01-03",0.292,1641178931000
"2022-01-03 03:17:11","2022-01-03",0.3087,1641179831000
"2022-01-03 03:32:11","2022-01-03",0.3064,1641180731000
"2022-01-03 03:47:11","2022-01-03",0.307,1641181631000
"2022-01-03 04:02:11","2022-01-03",0.2926,1641182531000
"2022-01-03 04:17:11","2022-01-03",0.2932,1641183431000
"2022-01-03 04:32:11","2022-01-03",0.2892,1641184331000
"2022-01-03 04:47:11","2022-01-03",0.2909,1641185231000
"2022-01-03 05:02:11","2022-01-03",0.3059,1641186131000
"2022-01-03 05:17:11","2022-01-03",0.2782,1641187031000
"2022-01-03 05:32:11","2022-01-03",0.2857,1641187931000
"2022-01-03 05:47:11","2022-01-03",0.2863,1641188831000
"2022-01-03 06:02:11","2022-01-03",0.2811,1641189731000
"2022-01-03 06:17:11","2022-01-03",0.2967,1641190631000
"2022-01-03 06:32:11","2022-01-03",0.3047,1641191531000
"2022-01-03 06:47:11","2022-01-03",0.3105,1641192431000
"2022-01-03 07:02:11","2022-01-03",0.2984,1641193331000
"2022-01-03 07:17:12","2022-01-03",0.2972,1641194232000
"2022-01-03 07:32:11","2022-01-03",0.3087,1641195131000
"2022-01-03 07:47:11","2022-01-03",0.3116,1641196031000
"2022-01-03 08:02:12","2022-01-03",0.3093,1641196932000
"2022-01-03 08:17:12","2022-01-03",0.2995,1641197832000
"2022-01-03 08:32:12","2022-01-03",0.2995,1641198732000
"2022-01-03 08:47:11","2022-01-03",0.2972,1641199631000
"2022-01-03 09:02:11","2022-01-03",0.2995,1641200531000
"2022-01-03 09:17:11","2022-01-03",0.2984,1641201431000
"2022-01-03 09:32:11","2022-01-03",0.2961,1641202331000
"2022-01-03 09:47:11","2022-01-03",0.2915,1641203231000
"2022-01-03 10:02:11","2022-01-03",0.2961,1641204131000
"2022-01-03 10:17:11","2022-01-03",0.2944,1641205031000
"2022-01-03 10:32:11","2022-01-03",0.2886,1641205931000
"2022-01-03 10:47:11","2022-01-03",0.2909,1641206831000
"2022-01-03 11:02:11","2022-01-03",0.2915,1641207731000
"2022-01-03 11:17:11","2022-01-03",0.2961,1641208631000
"2022-01-03 11:32:11","2022-01-03",0.2967,1641209531000
"2022-01-03 11:47:11","2022-01-03",0.3013,1641210431000
"2022-01-03 12:02:11","2022-01-03",0.2972,1641211331000
"2022-01-03 12:17:11","2022-01-03",0.3139,1641212231000
"2022-01-03 12:32:11","2022-01-03",0.3041,1641213131000
"2022-01-03 12:47:11","2022-01-03",0.2938,1641214031000
"2022-01-03 13:02:11","2022-01-03",0.2926,1641214931000
"2022-01-03 13:17:11","2022-01-03",0.2869,1641215831000
"2022-01-03 13:32:11","2022-01-03",0.2926,1641216731000
"2022-01-03 13:47:11","2022-01-03",0.2944,1641217631000
"2022-01-03 14:02:11","2022-01-03",0.2967,1641218531000
"2022-01-03 14:17:11","2022-01-03",0.2828,1641219431000
"2022-01-03 14:32:11","2022-01-03",0.2938,1641220331000
"2022-01-03 14:47:11","2022-01-03",0.2897,1641221231000
"2022-01-03 15:02:11","2022-01-03",0.2932,1641222131000
"2022-01-03 15:17:14","2022-01-03",0.2949,1641223034000
"2022-01-03 15:32:12","2022-01-03",0.303,1641223932000
"2022-01-03 15:47:11","2022-01-03",0.3082,1641224831000
"2022-01-03 16:02:11","2022-01-03",0.3076,1641225731000
"2022-01-03 16:17:12","2022-01-03",0.3087,1641226632000
"2022-01-03 16:32:11","2022-01-03",0.3007,1641227531000
"2022-01-03 16:47:11","2022-01-03",0.288,1641228431000
"2022-01-03 17:02:11","2022-01-03",0.2903,1641229331000
"2022-01-03 17:17:11","2022-01-03",0.284,1641230231000
"2022-01-03 17:32:11","2022-01-03",0.2892,1641231131000
"2022-01-03 17:47:11","2022-01-03",0.2863,1641232031000
"2022-01-03 18:02:11","2022-01-03",0.292,1641232931000
"2022-01-03 18:17:11","2022-01-03",0.2961,1641233831000
"2022-01-03 18:32:11","2022-01-03",0.3041,1641234731000
"2022-01-03 18:47:12","2022-01-03",0.2972,1641235632000
"2022-01-03 19:02:14","2022-01-03",0.2978,1641236534000
"2022-01-03 19:17:11","2022-01-03",0.3041,1641237431000
"2022-01-03 19:32:11","2022-01-03",0.307,1641238331000
"2022-01-03 19:47:11","2022-01-03",0.2984,1641239231000
"2022-01-03 20:02:11","2022-01-03",0.2972,1641240131000
"2022-01-03 20:17:11","2022-01-03",0.2967,1641241031000
"2022-01-03 20:32:11","2022-01-03",0.3018,1641241931000
"2022-01-03 20:47:11","2022-01-03",0.3059,1641242831000
"2022-01-03 21:02:11","2022-01-03",0.2967,1641243731000
"2022-01-03 21:17:11","2022-01-03",0.3128,1641244631000
"2022-01-03 21:32:11","2022-01-03",0.3018,1641245531000
"2022-01-03 21:47:11","2022-01-03",0.3059,1641246431000
"2022-01-03 22:02:11","2022-01-03",0.3001,1641247331000
"2022-01-03 22:17:11","2022-01-03",0.3047,1641248231000
"2022-01-03 22:32:11","2022-01-03",0.3076,1641249131000
"2022-01-03 22:47:11","2022-01-03",0.3133,1641250031000
"2022-01-03 23:02:11","2022-01-03",0.3018,1641250931000
"2022-01-03 23:17:14","2022-01-03",0.2972,1641251834000
"2022-01-03 23:32:12","2022-01-03",0.2978,1641252732000
"2022-01-03 23:47:11","2022-01-03",0.3087,1641253631000
"2022-01-04 00:02:11","2022-01-04",0.3041,1641254531000
"2022-01-04 00:17:12","2022-01-04",0.292,1641255432000
"2022-01-04 00:32:11","2022-01-04",0.2857,1641256331000
"2022-01-04 00:47:11","2022-01-04",0.2955,1641257231000
"2022-01-04 01:02:11","2022-01-04",0.2944,1641258131000
"2022-01-04 01:17:11","2022-01-04",0.2961,1641259031000
"2022-01-04 01:32:11","2022-01-04",0.2967,1641259931000
"2022-01-04 01:47:11","2022-01-04",0.3013,1641260831000
"2022-01-04 02:02:13","2022-01-04",0.307,1641261733000
"2022-01-04 02:17:11","2022-01-04",0.3001,1641262631000
"2022-01-04 02:32:11","2022-01-04",0.2978,1641263531000
"2022-01-04 02:47:11","2022-01-04",0.2967,1641264431000
"2022-01-04 03:02:11","2022-01-04",0.299,1641265331000
"2022-01-04 03:17:11","2022-01-04",0.3036,1641266231000
"2022-01-04 03:32:11","2022-01-04",0.3001,1641267131000
"2022-01-04 03:47:11","2022-01-04",0.2995,1641268031000
"2022-01-04 04:02:11","2022-01-04",0.3047,1641268931000
"2022-01-04 04:17:11","2022-01-04",0.361,1641269831000
"2022-01-04 04:32:11","2022-01-04",0.3668,1641270731000
"2022-01-04 04:47:12","2022-01-04",0.3484,1641271632000
"2022-01-04 05:02:11","2022-01-04",0.292,1641272531000
"2022-01-04 05:17:11","2022-01-04",0.2897,1641273431000
"2022-01-04 05:32:11","2022-01-04",0.3225,1641274331000
"2022-01-04 05:47:11","2022-01-04",0.3254,1641275231000
"2022-01-04 06:02:11","2022-01-04",0.3317,1641276131000
"2022-01-04 06:17:11","2022-01-04",0.3139,1641277031000
"2022-01-04 06:32:11","2022-01-04",0.326,1641277931000
"2022-01-04 06:47:12","2022-01-04",0.3294,1641278832000
"2022-01-04 07:02:12","2022-01-04",0.3283,1641279732000
"2022-01-04 07:17:12","2022-01-04",0.3363,1641280632000
"2022-01-04 07:32:12","2022-01-04",0.3317,1641281532000
