"datetime","date","turb-i-subdaily-ntu","epoch"
"2019-01-02 00:02:11","2019-01-02",-56.1,1546387331000
"2019-01-02 00:17:11","2019-01-02",-56.0,1546388231000
"2019-01-02 00:32:11","2019-01-02",-56.4,1546389131000
"2019-01-02 00:47:11","2019-01-02",-56.5,1546390031000
"2019-01-02 01:02:12","2019-01-02",-56.5,1546390932000
"2019-01-02 01:17:12","2019-01-02",-56.6,1546391832000
"2019-01-02 01:32:12","2019-01-02",-56.7,1546392732000
"2019-01-02 01:47:12","2019-01-02",-56.5,1546393632000
"2019-01-02 02:02:12","2019-01-02",-56.3,1546394532000
"2019-01-02 02:17:11","2019-01-02",-56.2,1546395431000
"2019-01-02 02:32:11","2019-01-02",-56.1,1546396331000
"2019-01-02 02:47:12","2019-01-02",-56.1,1546397232000
"2019-01-02 03:02:12","2019-01-02",-55.9,1546398132000
"2019-01-02 03:17:12","2019-01-02",-55.9,1546399032000
"2019-01-02 03:32:11","2019-01-02",-55.9,1546399931000
"2019-01-02 03:47:11","2019-01-02",-56.0,1546400831000
"2019-01-02 04:02:12","2019-01-02",-56.1,1546401732000
"2019-01-02 04:17:12","2019-01-02",-56.2,1546402632000
"2019-01-02 04:32:12","2019-01-02",-56.2,1546403532000
"2019-01-02 04:47:12","2019-01-02",-56.3,1546404432000
"2019-01-02 05:02:12","2019-01-02",-56.3,1546405332000
"2019-01-02 05:17:13","2019-01-02",-56.3,1546406233000
"2019-01-02 05:32:12","2019-01-02",-56.2,1546407132000
"2019-01-02 05:47:12","2019-01-02",-56.2,1546408032000
"2019-01-02 06:02:12","2019-01-02",-56.2,1546408932000
"2019-01-02 06:17:12","2019-01-02",-56.1,1546409832000
"2019-01-02 06:32:12","2019-01-02",-56.1,1546410732000
"2019-01-02 06:47:12","2019-01-02",-56.1,1546411632000
"2019-01-02 07:02:11","2019-01-02",-56.1,1546412531000
"2019-01-02 07:17:12","2019-01-02",-56.1,1546413432000
"2019-01-02 07:32:12","2019-01-02",-56.0,1546414332000
"2019-01-02 07:47:12","2019-01-02",-56.0,1546415232000
"2019-01-02 08:02:11","2019-01-02",-55.8,1546416131000
"2019-01-02 08:17:11","2019-01-02",-55.9,1546417031000
"2019-01-02 08:32:11","2019-01-02",-55.9,1546417931000
