"datetime","date","cphyll-i-subdaily-ugpL","epoch"
"2019-02-06 13:54:18","2019-02-06",3.14,1549461258000
"2019-02-06 13:55:26","2019-02-06",3.03,1549461326000
"2019-02-06 14:00:26","2019-02-06",2.98,1549461626000
"2019-02-06 14:05:26","2019-02-06",3.33,1549461926000
"2019-02-06 14:10:26","2019-02-06",3.09,1549462226000
"2019-02-06 15:00:26","2019-02-06",3.49,1549465226000
"2019-02-06 16:00:26","2019-02-06",3.44,1549468826000
"2019-02-06 17:00:26","2019-02-06",3.21,1549472426000
"2019-02-06 18:00:26","2019-02-06",3.83,1549476026000
"2019-02-06 19:00:26","2019-02-06",3.18,1549479626000
"2019-02-06 20:00:26","2019-02-06",3.2,1549483226000
"2019-02-06 21:00:26","2019-02-06",3.43,1549486826000
"2019-02-06 22:00:26","2019-02-06",3.24,1549490426000
"2019-02-06 23:00:26","2019-02-06",3.33,1549494026000
"2019-02-07 00:00:26","2019-02-07",3.36,1549497626000
"2019-02-07 01:00:26","2019-02-07",3.62,1549501226000
"2019-02-07 02:00:26","2019-02-07",3.66,1549504826000
"2019-02-07 03:00:26","2019-02-07",3.3,1549508426000
"2019-02-07 04:00:26","2019-02-07",4.19,1549512026000
"2019-02-07 05:00:26","2019-02-07",3.91,1549515626000
"2019-02-07 06:00:26","2019-02-07",3.65,1549519226000
"2019-02-07 07:00:26","2019-02-07",3.59,1549522826000
"2019-02-07 08:00:26","2019-02-07",3.97,1549526426000
"2019-02-07 09:00:26","2019-02-07",3.64,1549530026000
"2019-02-07 10:00:26","2019-02-07",3.76,1549533626000
"2019-02-07 11:00:26","2019-02-07",3.95,1549537226000
"2019-02-07 12:00:26","2019-02-07",3.67,1549540826000
"2019-02-07 13:00:26","2019-02-07",3.58,1549544426000
"2019-02-07 14:00:26","2019-02-07",3.63,1549548026000
"2019-02-07 15:00:26","2019-02-07",3.56,1549551626000
"2019-02-07 16:00:26","2019-02-07",3.55,1549555226000
"2019-02-07 17:00:26","2019-02-07",3.69,1549558826000
"2019-02-07 18:00:26","2019-02-07",3.55,1549562426000
"2019-02-07 19:00:26","2019-02-07",3.5,1549566026000
"2019-02-07 20:00:26","2019-02-07",3.6,1549569626000
"2019-02-07 21:00:26","2019-02-07",3.46,1549573226000
"2019-02-07 22:00:26","2019-02-07",3.53,1549576826000
"2019-02-07 23:00:26","2019-02-07",3.5,1549580426000
"2019-02-08 00:00:26","2019-02-08",3.84,1549584026000
"2019-02-08 01:00:26","2019-02-08",3.45,1549587626000
"2019-02-08 02:00:26","2019-02-08",3.58,1549591226000
"2019-02-08 03:00:26","2019-02-08",3.57,1549594826000
"2019-02-08 04:00:26","2019-02-08",3.68,1549598426000
"2019-02-08 05:00:26","2019-02-08",3.63,1549602026000
