"datetime","date","amm-i-subdaily-mgL","epoch"
"2020-01-02 00:01:59","2020-01-02",527.8,1577923319000
"2020-01-02 00:17:00","2020-01-02",487.2,1577924220000
"2020-01-02 00:32:00","2020-01-02",487.1,1577925120000
"2020-01-02 00:46:59","2020-01-02",493.9,1577926019000
"2020-01-02 01:01:59","2020-01-02",493.8,1577926919000
"2020-01-02 01:16:59","2020-01-02",2223.0,1577927819000
"2020-01-02 01:31:59","2020-01-02",530.7,1577928719000
"2020-01-02 01:46:59","2020-01-02",586.6,1577929619000
"2020-01-02 02:01:59","2020-01-02",531.5,1577930519000
"2020-01-02 02:17:00","2020-01-02",601.6,1577931420000
"2020-01-02 02:31:59","2020-01-02",606.8,1577932319000
"2020-01-02 02:46:59","2020-01-02",616.0,1577933219000
"2020-01-02 03:01:59","2020-01-02",561.3,1577934119000
"2020-01-02 03:17:00","2020-01-02",617.9,1577935020000
"2020-01-02 03:31:59","2020-01-02",640.5,1577935919000
"2020-01-02 03:46:59","2020-01-02",589.7,1577936819000
"2020-01-02 04:01:59","2020-01-02",602.3,1577937719000
"2020-01-02 04:16:59","2020-01-02",599.3,1577938619000
"2020-01-02 04:31:59","2020-01-02",658.3,1577939519000
"2020-01-02 04:46:59","2020-01-02",616.2,1577940419000
"2020-01-02 05:01:59","2020-01-02",668.6,1577941319000
"2020-01-02 05:17:00","2020-01-02",673.0,1577942220000
"2020-01-02 05:31:59","2020-01-02",627.1,1577943119000
"2020-01-02 05:46:59","2020-01-02",672.2,1577944019000
"2020-01-02 06:01:59","2020-01-02",625.6,1577944919000
"2020-01-02 06:16:59","2020-01-02",610.3,1577945819000
"2020-01-02 06:32:00","2020-01-02",612.8,1577946720000
"2020-01-02 06:46:59","2020-01-02",605.2,1577947619000
"2020-01-02 07:01:59","2020-01-02",654.3,1577948519000
"2020-01-02 07:16:59","2020-01-02",656.5,1577949419000
"2020-01-02 07:31:59","2020-01-02",606.0,1577950319000
