"datetime","date","cond-i-subdaily-mS","epoch"
"2018-01-02 00:01:52","2018-01-02",22.84,1514851312000
"2018-01-02 00:16:52","2018-01-02",24.05,1514852212000
"2018-01-02 00:31:51","2018-01-02",23.94,1514853111000
"2018-01-02 00:46:52","2018-01-02",24.79,1514854012000
"2018-01-02 01:01:52","2018-01-02",24.47,1514854912000
"2018-01-02 01:16:51","2018-01-02",24.75,1514855811000
"2018-01-02 01:31:51","2018-01-02",25.1,1514856711000
"2018-01-02 01:46:51","2018-01-02",25.3,1514857611000
"2018-01-02 02:01:51","2018-01-02",23.95,1514858511000
"2018-01-02 02:16:51","2018-01-02",22.68,1514859411000
"2018-01-02 02:31:51","2018-01-02",21.99,1514860311000
"2018-01-02 02:46:51","2018-01-02",21.18,1514861211000
"2018-01-02 03:01:52","2018-01-02",20.27,1514862112000
"2018-01-02 03:16:51","2018-01-02",19.09,1514863011000
"2018-01-02 03:31:52","2018-01-02",18.62,1514863912000
"2018-01-02 03:46:52","2018-01-02",17.65,1514864812000
"2018-01-02 04:01:52","2018-01-02",17.01,1514865712000
"2018-01-02 04:16:51","2018-01-02",16.19,1514866611000
"2018-01-02 04:31:52","2018-01-02",15.22,1514867512000
"2018-01-02 04:46:53","2018-01-02",14.2,1514868413000
"2018-01-02 05:01:52","2018-01-02",13.21,1514869312000
"2018-01-02 05:16:51","2018-01-02",12.52,1514870211000
"2018-01-02 05:31:52","2018-01-02",11.89,1514871112000
"2018-01-02 05:46:52","2018-01-02",11.16,1514872012000
"2018-01-02 06:01:52","2018-01-02",10.71,1514872912000
"2018-01-02 06:16:52","2018-01-02",10.07,1514873812000
"2018-01-02 06:31:51","2018-01-02",9.694,1514874711000
"2018-01-02 06:46:52","2018-01-02",9.311,1514875612000
"2018-01-02 07:01:22","2018-01-02",9.037,1514876482000
"2018-01-02 07:16:52","2018-01-02",8.992,1514877412000
"2018-01-02 07:31:51","2018-01-02",8.788,1514878311000
"2018-01-02 07:46:52","2018-01-02",8.307,1514879212000
"2018-01-02 08:01:52","2018-01-02",7.594,1514880112000
"2018-01-02 08:16:52","2018-01-02",7.089,1514881012000
"2018-01-02 08:31:52","2018-01-02",7.898,1514881912000
"2018-01-02 08:46:52","2018-01-02",9.482,1514882812000
"2018-01-02 09:01:52","2018-01-02",9.606,1514883712000
"2018-01-02 09:16:51","2018-01-02",11.11,1514884611000
"2018-01-02 09:31:52","2018-01-02",12.41,1514885512000
"2018-01-02 09:46:51","2018-01-02",12.63,1514886411000
"2018-01-02 10:01:52","2018-01-02",15.04,1514887312000
"2018-01-02 10:16:52","2018-01-02",16.27,1514888212000
"2018-01-02 10:31:52","2018-01-02",17.86,1514889112000
"2018-01-02 10:46:52","2018-01-02",19.15,1514890012000
"2018-01-02 11:01:52","2018-01-02",20.16,1514890912000
"2018-01-02 11:16:52","2018-01-02",20.57,1514891812000
"2018-01-02 11:31:52","2018-01-02",21.62,1514892712000
"2018-01-02 11:46:52","2018-01-02",20.89,1514893612000
"2018-01-02 12:01:51","2018-01-02",22.65,1514894511000
"2018-01-02 12:16:52","2018-01-02",22.72,1514895412000
"2018-01-02 12:31:52","2018-01-02",21.54,1514896312000
"2018-01-02 12:46:52","2018-01-02",23.89,1514897212000
"2018-01-02 13:01:51","2018-01-02",23.74,1514898111000
"2018-01-02 13:16:51","2018-01-02",23.42,1514899011000
"2018-01-02 13:31:52","2018-01-02",25.0,1514899912000
"2018-01-02 13:46:52","2018-01-02",25.32,1514900812000
"2018-01-02 14:01:51","2018-01-02",25.37,1514901711000
"2018-01-02 14:16:51","2018-01-02",24.56,1514902611000
"2018-01-02 14:31:52","2018-01-02",23.54,1514903512000
"2018-01-02 14:46:52","2018-01-02",22.56,1514904412000
"2018-01-02 15:01:51","2018-01-02",21.04,1514905311000
"2018-01-02 15:16:52","2018-01-02",20.22,1514906212000
"2018-01-02 15:31:52","2018-01-02",18.67,1514907112000
"2018-01-02 15:46:52","2018-01-02",17.66,1514908012000
"2018-01-02 16:01:52","2018-01-02",16.96,1514908912000
"2018-01-02 16:16:52","2018-01-02",16.54,1514909812000
"2018-01-02 16:31:52","2018-01-02",15.84,1514910712000
"2018-01-02 16:46:51","2018-01-02",15.01,1514911611000
"2018-01-02 17:01:52","2018-01-02",13.9,1514912512000
"2018-01-02 17:16:52","2018-01-02",13.0,1514913412000
"2018-01-02 17:31:52","2018-01-02",12.24,1514914312000
"2018-01-02 17:46:52","2018-01-02",11.31,1514915212000
"2018-01-02 18:01:51","2018-01-02",10.51,1514916111000
"2018-01-02 18:16:52","2018-01-02",10.62,1514917012000
"2018-01-02 18:31:51","2018-01-02",9.349,1514917911000
"2018-01-02 18:46:51","2018-01-02",8.691,1514918811000
"2018-01-02 19:01:52","2018-01-02",8.189,1514919712000
"2018-01-02 19:16:08","2018-01-02",8.036,1514920568000
"2018-01-02 19:31:51","2018-01-02",7.45,1514921511000
"2018-01-02 19:46:52","2018-01-02",6.938,1514922412000
"2018-01-02 20:01:52","2018-01-02",6.551,1514923312000
"2018-01-02 20:16:52","2018-01-02",6.519,1514924212000
"2018-01-02 20:31:52","2018-01-02",6.335,1514925112000
"2018-01-02 20:46:52","2018-01-02",6.155,1514926012000
"2018-01-02 21:01:52","2018-01-02",6.046,1514926912000
"2018-01-02 21:16:52","2018-01-02",5.568,1514927812000
"2018-01-02 21:31:52","2018-01-02",6.326,1514928712000
"2018-01-02 21:46:52","2018-01-02",7.307,1514929612000
"2018-01-02 22:01:52","2018-01-02",7.549,1514930512000
"2018-01-02 22:16:52","2018-01-02",9.917,1514931412000
"2018-01-02 22:31:52","2018-01-02",10.43,1514932312000
"2018-01-02 22:46:52","2018-01-02",10.99,1514933212000
"2018-01-02 23:01:52","2018-01-02",12.56,1514934112000
"2018-01-02 23:16:52","2018-01-02",15.32,1514935012000
"2018-01-02 23:31:52","2018-01-02",17.12,1514935912000
"2018-01-02 23:46:52","2018-01-02",16.85,1514936812000
"2018-01-03 00:01:52","2018-01-03",17.88,1514937712000
"2018-01-03 00:16:52","2018-01-03",19.57,1514938612000
"2018-01-03 00:31:52","2018-01-03",20.16,1514939512000
"2018-01-03 00:46:52","2018-01-03",21.23,1514940412000
"2018-01-03 01:01:12","2018-01-03",21.51,1514941272000
"2018-01-03 01:16:52","2018-01-03",21.82,1514942212000
"2018-01-03 01:31:51","2018-01-03",22.32,1514943111000
"2018-01-03 01:46:52","2018-01-03",23.42,1514944012000
