"datetime","date","ph-i-subdaily","epoch"
"2019-01-02 00:01:51","2019-01-02",2.94,1546387311000
"2019-01-02 00:16:51","2019-01-02",3.14,1546388211000
"2019-01-02 00:31:51","2019-01-02",3.18,1546389111000
"2019-01-02 00:46:51","2019-01-02",3.2,1546390011000
"2019-01-02 01:01:19","2019-01-02",3.22,1546390879000
"2019-01-02 01:16:51","2019-01-02",3.21,1546391811000
"2019-01-02 01:31:51","2019-01-02",3.23,1546392711000
"2019-01-02 01:46:52","2019-01-02",3.24,1546393612000
"2019-01-02 02:01:52","2019-01-02",3.41,1546394512000
"2019-01-02 02:16:52","2019-01-02",3.2,1546395412000
"2019-01-02 02:31:51","2019-01-02",3.21,1546396311000
"2019-01-02 02:46:51","2019-01-02",3.34,1546397211000
"2019-01-02 03:01:52","2019-01-02",3.41,1546398112000
"2019-01-02 03:16:51","2019-01-02",3.39,1546399011000
"2019-01-02 03:31:51","2019-01-02",3.38,1546399911000
"2019-01-02 03:46:51","2019-01-02",3.37,1546400811000
"2019-01-02 04:01:51","2019-01-02",3.17,1546401711000
"2019-01-02 04:16:52","2019-01-02",3.12,1546402612000
"2019-01-02 04:31:52","2019-01-02",3.42,1546403512000
"2019-01-02 04:46:52","2019-01-02",3.39,1546404412000
"2019-01-02 05:01:52","2019-01-02",3.36,1546405312000
"2019-01-02 05:16:52","2019-01-02",3.39,1546406212000
"2019-01-02 05:31:52","2019-01-02",3.4,1546407112000
"2019-01-02 05:46:53","2019-01-02",3.41,1546408013000
"2019-01-02 06:01:52","2019-01-02",3.42,1546408912000
"2019-01-02 06:16:51","2019-01-02",3.41,1546409811000
"2019-01-02 06:31:52","2019-01-02",3.4,1546410712000
"2019-01-02 06:46:52","2019-01-02",3.41,1546411612000
"2019-01-02 07:01:23","2019-01-02",3.21,1546412483000
"2019-01-02 07:16:51","2019-01-02",3.41,1546413411000
"2019-01-02 07:31:52","2019-01-02",3.25,1546414312000
"2019-01-02 07:46:52","2019-01-02",3.1,1546415212000
"2019-01-02 08:01:52","2019-01-02",3.1,1546416112000
"2019-01-02 08:16:52","2019-01-02",3.11,1546417012000
"2019-01-02 08:31:52","2019-01-02",3.13,1546417912000
"2019-01-02 08:46:51","2019-01-02",3.13,1546418811000
"2019-01-02 09:01:52","2019-01-02",3.14,1546419712000
"2019-01-02 09:16:52","2019-01-02",3.13,1546420612000
"2019-01-02 09:31:52","2019-01-02",3.13,1546421512000
"2019-01-02 09:46:52","2019-01-02",3.13,1546422412000
"2019-01-02 10:01:52","2019-01-02",3.13,1546423312000
"2019-01-02 10:16:52","2019-01-02",3.12,1546424212000
"2019-01-02 10:31:52","2019-01-02",3.09,1546425112000
"2019-01-02 10:46:52","2019-01-02",3.1,1546426012000
"2019-01-02 11:01:51","2019-01-02",3.4,1546426911000
"2019-01-02 11:16:52","2019-01-02",3.06,1546427812000
"2019-01-02 11:31:51","2019-01-02",3.06,1546428711000
"2019-01-02 11:46:52","2019-01-02",3.44,1546429612000
"2019-01-02 12:01:51","2019-01-02",3.22,1546430511000
"2019-01-02 12:16:52","2019-01-02",3.26,1546431412000
"2019-01-02 12:31:52","2019-01-02",3.12,1546432312000
"2019-01-02 12:46:52","2019-01-02",3.19,1546433212000
"2019-01-02 13:01:52","2019-01-02",3.03,1546434112000
"2019-01-02 13:16:52","2019-01-02",3.32,1546435012000
"2019-01-02 13:31:51","2019-01-02",3.35,1546435911000
"2019-01-02 13:46:52","2019-01-02",3.27,1546436812000
"2019-01-02 14:01:51","2019-01-02",3.42,1546437711000
"2019-01-02 14:16:52","2019-01-02",3.43,1546438612000
"2019-01-02 14:31:52","2019-01-02",3.42,1546439512000
"2019-01-02 14:46:52","2019-01-02",3.46,1546440412000
"2019-01-02 15:01:52","2019-01-02",3.43,1546441312000
"2019-01-02 15:16:52","2019-01-02",3.38,1546442212000
"2019-01-02 15:31:52","2019-01-02",3.4,1546443112000
"2019-01-02 15:46:53","2019-01-02",3.4,1546444013000
"2019-01-02 16:01:52","2019-01-02",3.36,1546444912000
"2019-01-02 16:16:52","2019-01-02",3.26,1546445812000
"2019-01-02 16:31:52","2019-01-02",3.21,1546446712000
"2019-01-02 16:46:51","2019-01-02",3.21,1546447611000
"2019-01-02 17:01:19","2019-01-02",3.1,1546448479000
"2019-01-02 17:16:52","2019-01-02",3.42,1546449412000
"2019-01-02 17:31:52","2019-01-02",3.42,1546450312000
"2019-01-02 17:46:52","2019-01-02",3.42,1546451212000
"2019-01-02 18:01:52","2019-01-02",3.42,1546452112000
"2019-01-02 18:16:51","2019-01-02",3.42,1546453011000
"2019-01-02 18:31:52","2019-01-02",3.42,1546453912000
"2019-01-02 18:46:52","2019-01-02",3.42,1546454812000
"2019-01-02 19:01:52","2019-01-02",3.4,1546455712000
"2019-01-02 19:16:52","2019-01-02",3.42,1546456612000
"2019-01-02 19:31:52","2019-01-02",3.41,1546457512000
"2019-01-02 19:46:52","2019-01-02",3.4,1546458412000
"2019-01-02 20:01:52","2019-01-02",3.4,1546459312000
"2019-01-02 20:16:52","2019-01-02",3.41,1546460212000
"2019-01-02 20:31:51","2019-01-02",3.4,1546461111000
"2019-01-02 20:46:52","2019-01-02",3.4,1546462012000
"2019-01-02 21:01:22","2019-01-02",3.41,1546462882000
"2019-01-02 21:16:52","2019-01-02",3.41,1546463812000
"2019-01-02 21:31:51","2019-01-02",3.41,1546464711000
"2019-01-02 21:46:52","2019-01-02",3.41,1546465612000
"2019-01-02 22:01:51","2019-01-02",3.42,1546466511000
"2019-01-02 22:16:52","2019-01-02",3.42,1546467412000
"2019-01-02 22:31:52","2019-01-02",3.41,1546468312000
"2019-01-02 22:46:52","2019-01-02",3.43,1546469212000
"2019-01-02 23:01:52","2019-01-02",3.4,1546470112000
"2019-01-02 23:16:52","2019-01-02",3.34,1546471012000
"2019-01-02 23:31:52","2019-01-02",3.32,1546471912000
"2019-01-02 23:46:52","2019-01-02",3.41,1546472812000
"2019-01-03 00:01:52","2019-01-03",3.25,1546473712000
"2019-01-03 00:16:52","2019-01-03",3.23,1546474612000
"2019-01-03 00:31:51","2019-01-03",3.36,1546475511000
"2019-01-03 00:46:52","2019-01-03",3.34,1546476412000
"2019-01-03 01:01:51","2019-01-03",3.41,1546477311000
