"datetime","date","temp-i-subdaily-C","epoch"
"2020-01-02 00:01:59","2020-01-02",7.56,1577923319000
"2020-01-02 00:17:00","2020-01-02",7.56,1577924220000
"2020-01-02 00:32:00","2020-01-02",7.57,1577925120000
"2020-01-02 00:46:59","2020-01-02",7.56,1577926019000
"2020-01-02 01:01:59","2020-01-02",7.56,1577926919000
"2020-01-02 01:16:59","2020-01-02",7.55,1577927819000
"2020-01-02 01:31:59","2020-01-02",7.53,1577928719000
"2020-01-02 01:46:59","2020-01-02",7.52,1577929619000
"2020-01-02 02:01:59","2020-01-02",7.52,1577930519000
"2020-01-02 02:17:00","2020-01-02",7.52,1577931420000
"2020-01-02 02:31:59","2020-01-02",7.51,1577932319000
"2020-01-02 02:46:59","2020-01-02",7.51,1577933219000
"2020-01-02 03:01:59","2020-01-02",7.51,1577934119000
"2020-01-02 03:17:00","2020-01-02",7.5,1577935020000
"2020-01-02 03:31:59","2020-01-02",7.49,1577935919000
"2020-01-02 03:46:59","2020-01-02",7.49,1577936819000
"2020-01-02 04:01:59","2020-01-02",7.49,1577937719000
"2020-01-02 04:16:59","2020-01-02",7.48,1577938619000
"2020-01-02 04:31:59","2020-01-02",7.47,1577939519000
"2020-01-02 04:46:59","2020-01-02",7.48,1577940419000
"2020-01-02 05:01:59","2020-01-02",7.47,1577941319000
"2020-01-02 05:17:00","2020-01-02",7.47,1577942220000
"2020-01-02 05:31:59","2020-01-02",7.46,1577943119000
"2020-01-02 05:46:59","2020-01-02",7.47,1577944019000
"2020-01-02 06:01:59","2020-01-02",7.47,1577944919000
"2020-01-02 06:16:59","2020-01-02",7.47,1577945819000
"2020-01-02 06:32:00","2020-01-02",7.47,1577946720000
"2020-01-02 06:46:59","2020-01-02",7.47,1577947619000
"2020-01-02 07:01:59","2020-01-02",7.48,1577948519000
"2020-01-02 07:16:59","2020-01-02",7.48,1577949419000
"2020-01-02 07:31:59","2020-01-02",7.48,1577950319000
"2020-01-02 07:46:59","2020-01-02",7.48,1577951219000
"2020-01-02 08:01:59","2020-01-02",7.48,1577952119000
"2020-01-02 08:16:59","2020-01-02",7.49,1577953019000
"2020-01-02 08:31:59","2020-01-02",7.51,1577953919000
"2020-01-02 08:46:59","2020-01-02",7.53,1577954819000
"2020-01-02 09:01:59","2020-01-02",7.54,1577955719000
"2020-01-02 09:16:58","2020-01-02",7.56,1577956618000
"2020-01-02 09:31:58","2020-01-02",7.56,1577957518000
"2020-01-02 09:46:58","2020-01-02",7.56,1577958418000
"2020-01-02 10:01:59","2020-01-02",7.57,1577959319000
"2020-01-02 10:16:58","2020-01-02",7.58,1577960218000
"2020-01-02 10:31:59","2020-01-02",7.59,1577961119000
"2020-01-02 10:46:58","2020-01-02",7.59,1577962018000
"2020-01-02 11:01:58","2020-01-02",7.59,1577962918000
"2020-01-02 11:16:58","2020-01-02",7.6,1577963818000
"2020-01-02 11:31:59","2020-01-02",7.6,1577964719000
"2020-01-02 11:46:58","2020-01-02",7.61,1577965618000
"2020-01-02 12:01:59","2020-01-02",7.61,1577966519000
"2020-01-02 12:16:59","2020-01-02",7.63,1577967419000
"2020-01-02 12:31:59","2020-01-02",7.63,1577968319000
"2020-01-02 12:46:59","2020-01-02",7.63,1577969219000
"2020-01-02 13:01:59","2020-01-02",7.65,1577970119000
"2020-01-02 13:16:59","2020-01-02",7.65,1577971019000
"2020-01-02 13:31:59","2020-01-02",7.64,1577971919000
"2020-01-02 13:46:59","2020-01-02",7.63,1577972819000
"2020-01-02 14:01:59","2020-01-02",7.65,1577973719000
"2020-01-02 14:16:59","2020-01-02",7.65,1577974619000
"2020-01-02 14:31:59","2020-01-02",7.64,1577975519000
"2020-01-02 14:46:59","2020-01-02",7.62,1577976419000
"2020-01-02 15:01:59","2020-01-02",7.62,1577977319000
"2020-01-02 15:16:59","2020-01-02",7.61,1577978219000
"2020-01-02 15:31:59","2020-01-02",7.6,1577979119000
"2020-01-02 15:46:59","2020-01-02",7.6,1577980019000
"2020-01-02 16:01:59","2020-01-02",7.57,1577980919000
"2020-01-02 16:17:00","2020-01-02",7.57,1577981820000
"2020-01-02 16:31:59","2020-01-02",7.57,1577982719000
"2020-01-02 16:46:59","2020-01-02",7.54,1577983619000
"2020-01-02 17:01:59","2020-01-02",7.54,1577984519000
"2020-01-02 17:17:00","2020-01-02",7.51,1577985420000
"2020-01-02 17:31:59","2020-01-02",7.51,1577986319000
"2020-01-02 17:46:59","2020-01-02",7.51,1577987219000
"2020-01-02 18:01:59","2020-01-02",7.51,1577988119000
"2020-01-02 18:16:59","2020-01-02",7.52,1577989019000
"2020-01-02 18:31:59","2020-01-02",7.52,1577989919000
"2020-01-02 18:46:59","2020-01-02",7.52,1577990819000
"2020-01-02 19:01:59","2020-01-02",7.52,1577991719000
"2020-01-02 19:16:59","2020-01-02",7.53,1577992619000
"2020-01-02 19:31:59","2020-01-02",7.54,1577993519000
"2020-01-02 19:47:00","2020-01-02",7.55,1577994420000
"2020-01-02 20:01:59","2020-01-02",7.55,1577995319000
"2020-01-02 20:16:59","2020-01-02",7.56,1577996219000
"2020-01-02 20:31:59","2020-01-02",7.57,1577997119000
"2020-01-02 20:46:59","2020-01-02",7.58,1577998019000
"2020-01-02 21:01:59","2020-01-02",7.6,1577998919000
"2020-01-02 21:16:59","2020-01-02",7.61,1577999819000
"2020-01-02 21:32:00","2020-01-02",7.62,1578000720000
"2020-01-02 21:46:59","2020-01-02",7.63,1578001619000
"2020-01-02 22:01:59","2020-01-02",7.64,1578002519000
"2020-01-02 22:16:59","2020-01-02",7.64,1578003419000
"2020-01-02 22:31:59","2020-01-02",7.64,1578004319000
"2020-01-02 22:47:00","2020-01-02",7.65,1578005220000
"2020-01-02 23:01:59","2020-01-02",7.66,1578006119000
"2020-01-02 23:16:59","2020-01-02",7.68,1578007019000
"2020-01-02 23:31:59","2020-01-02",7.69,1578007919000
"2020-01-02 23:46:59","2020-01-02",7.68,1578008819000
"2020-01-03 00:02:00","2020-01-03",7.68,1578009720000
"2020-01-03 00:17:00","2020-01-03",7.69,1578010620000
