"datetime","date","cond-i-subdaily-uS","epoch"
"2022-02-16 08:37:06","2022-02-16",0.46,1645000626000
"2022-02-16 08:38:19","2022-02-16",0.46,1645000699000
"2022-02-16 08:39:31","2022-02-16",0.45,1645000771000
"2022-02-16 08:40:43","2022-02-16",0.45,1645000843000
"2022-02-16 08:41:56","2022-02-16",0.45,1645000916000
"2022-02-16 08:43:09","2022-02-16",0.44,1645000989000
"2022-02-16 08:44:22","2022-02-16",0.51,1645001062000
"2022-02-16 08:45:35","2022-02-16",0.47,1645001135000
"2022-02-16 09:01:11","2022-02-16",0.41,1645002071000
"2022-02-16 11:37:06","2022-02-16",593.65,1645011426000
"2022-02-16 12:01:11","2022-02-16",591.47,1645012871000
"2022-02-16 13:01:11","2022-02-16",590.82,1645016471000
"2022-02-16 14:01:11","2022-02-16",591.14,1645020071000
"2022-02-16 15:01:11","2022-02-16",591.89,1645023671000
"2022-02-16 16:01:11","2022-02-16",592.64,1645027271000
"2022-02-16 17:01:11","2022-02-16",592.77,1645030871000
"2022-02-16 18:01:11","2022-02-16",593.18,1645034471000
"2022-02-16 19:01:11","2022-02-16",593.55,1645038071000
"2022-02-16 20:01:11","2022-02-16",594.31,1645041671000
"2022-02-16 21:01:11","2022-02-16",595.18,1645045271000
"2022-02-16 22:01:11","2022-02-16",596.64,1645048871000
"2022-02-16 23:01:11","2022-02-16",597.61,1645052471000
"2022-02-17 00:01:11","2022-02-17",597.76,1645056071000
"2022-02-17 01:01:11","2022-02-17",598.13,1645059671000
"2022-02-17 02:01:11","2022-02-17",597.76,1645063271000
"2022-02-17 03:01:11","2022-02-17",597.05,1645066871000
"2022-02-17 04:01:11","2022-02-17",595.5,1645070471000
"2022-02-17 05:01:11","2022-02-17",594.78,1645074071000
"2022-02-17 06:01:11","2022-02-17",593.85,1645077671000
"2022-02-17 07:01:11","2022-02-17",593.35,1645081271000
"2022-02-17 08:01:11","2022-02-17",592.51,1645084871000
"2022-02-17 09:01:11","2022-02-17",592.34,1645088471000
"2022-02-17 10:01:11","2022-02-17",591.94,1645092071000
"2022-02-17 11:01:11","2022-02-17",592.91,1645095671000
"2022-02-17 12:01:11","2022-02-17",594.12,1645099271000
"2022-02-17 13:01:11","2022-02-17",593.55,1645102871000
"2022-02-17 14:01:11","2022-02-17",591.15,1645106471000
"2022-02-17 15:01:11","2022-02-17",589.23,1645110071000
"2022-02-17 16:01:11","2022-02-17",586.97,1645113671000
"2022-02-17 17:01:11","2022-02-17",584.85,1645117271000
"2022-02-17 18:01:11","2022-02-17",583.29,1645120871000
"2022-02-17 19:01:11","2022-02-17",581.75,1645124471000
"2022-02-17 20:01:11","2022-02-17",580.32,1645128071000
"2022-02-17 21:01:11","2022-02-17",578.68,1645131671000
"2022-02-17 22:01:11","2022-02-17",577.02,1645135271000
"2022-02-17 23:01:11","2022-02-17",575.42,1645138871000
"2022-02-18 00:01:11","2022-02-18",574.72,1645142471000
"2022-02-18 01:01:11","2022-02-18",574.11,1645146071000
"2022-02-18 02:01:11","2022-02-18",574.0,1645149671000
"2022-02-18 03:01:11","2022-02-18",574.43,1645153271000
"2022-02-18 04:01:11","2022-02-18",575.06,1645156871000
"2022-02-18 05:01:11","2022-02-18",576.33,1645160471000
"2022-02-18 06:01:11","2022-02-18",577.81,1645164071000
"2022-02-18 07:01:11","2022-02-18",579.96,1645167671000
"2022-02-18 08:01:11","2022-02-18",581.66,1645171271000
"2022-02-18 09:01:11","2022-02-18",582.06,1645174871000
"2022-02-18 10:01:11","2022-02-18",583.75,1645178471000
"2022-02-18 11:01:11","2022-02-18",585.13,1645182071000
"2022-02-18 12:01:11","2022-02-18",586.76,1645185671000
"2022-02-18 13:01:11","2022-02-18",588.02,1645189271000
"2022-02-18 14:01:11","2022-02-18",589.45,1645192871000
"2022-02-18 15:01:11","2022-02-18",590.72,1645196471000
"2022-02-18 16:01:11","2022-02-18",592.08,1645200071000
"2022-02-18 17:01:11","2022-02-18",593.73,1645203671000
"2022-02-18 18:01:11","2022-02-18",595.23,1645207271000
"2022-02-18 19:01:11","2022-02-18",596.67,1645210871000
"2022-02-18 20:01:11","2022-02-18",598.03,1645214471000
"2022-02-18 21:01:11","2022-02-18",599.05,1645218071000
"2022-02-18 22:01:11","2022-02-18",599.85,1645221671000
"2022-02-18 23:01:11","2022-02-18",600.52,1645225271000
"2022-02-19 00:01:11","2022-02-19",601.32,1645228871000
"2022-02-19 01:01:11","2022-02-19",602.35,1645232471000
"2022-02-19 02:01:11","2022-02-19",603.53,1645236071000
"2022-02-19 03:01:11","2022-02-19",604.75,1645239671000
"2022-02-19 04:01:11","2022-02-19",605.78,1645243271000
"2022-02-19 05:01:11","2022-02-19",606.46,1645246871000
"2022-02-19 06:01:11","2022-02-19",607.18,1645250471000
"2022-02-19 07:01:11","2022-02-19",608.0,1645254071000
"2022-02-19 08:01:11","2022-02-19",608.93,1645257671000
"2022-02-19 09:01:11","2022-02-19",609.9,1645261271000
"2022-02-19 10:01:11","2022-02-19",610.72,1645264871000
"2022-02-19 11:01:11","2022-02-19",611.53,1645268471000
"2022-02-19 12:01:11","2022-02-19",612.17,1645272071000
"2022-02-19 13:01:11","2022-02-19",613.12,1645275671000
"2022-02-19 14:01:11","2022-02-19",616.4,1645279271000
"2022-02-19 15:01:11","2022-02-19",613.3,1645282871000
"2022-02-19 16:01:11","2022-02-19",613.55,1645286471000
"2022-02-19 17:01:11","2022-02-19",615.14,1645290071000
"2022-02-19 18:01:18","2022-02-19",615.6,1645293678000
"2022-02-19 19:01:11","2022-02-19",616.39,1645297271000
"2022-02-19 20:01:11","2022-02-19",616.85,1645300871000
"2022-02-19 21:01:11","2022-02-19",617.43,1645304471000
"2022-02-19 22:01:11","2022-02-19",618.16,1645308071000
"2022-02-19 23:01:11","2022-02-19",618.92,1645311671000
"2022-02-20 00:01:11","2022-02-20",620.26,1645315271000
"2022-02-20 01:01:11","2022-02-20",622.15,1645318871000
"2022-02-20 02:01:11","2022-02-20",623.58,1645322471000
"2022-02-20 03:01:11","2022-02-20",623.37,1645326071000
"2022-02-20 04:01:11","2022-02-20",622.12,1645329671000
"2022-02-20 05:01:11","2022-02-20",621.45,1645333271000
"2022-02-20 06:01:11","2022-02-20",621.81,1645336871000
"2022-02-20 07:01:11","2022-02-20",622.03,1645340471000
"2022-02-20 08:01:11","2022-02-20",621.53,1645344071000
"2022-02-20 09:01:11","2022-02-20",620.55,1645347671000
"2022-02-20 10:01:11","2022-02-20",619.34,1645351271000
"2022-02-20 11:01:11","2022-02-20",618.39,1645354871000
"2022-02-20 12:01:11","2022-02-20",618.92,1645358471000
"2022-02-20 13:01:11","2022-02-20",618.58,1645362071000
"2022-02-20 14:01:11","2022-02-20",617.73,1645365671000
"2022-02-20 15:01:11","2022-02-20",617.64,1645369271000
"2022-02-20 16:01:11","2022-02-20",617.52,1645372871000
"2022-02-20 17:01:11","2022-02-20",616.84,1645376471000
"2022-02-20 18:01:11","2022-02-20",615.0,1645380071000
"2022-02-20 19:01:11","2022-02-20",596.04,1645383671000
"2022-02-20 20:01:11","2022-02-20",600.31,1645387271000
"2022-02-20 21:01:11","2022-02-20",599.79,1645390871000
"2022-02-20 22:01:11","2022-02-20",604.92,1645394471000
"2022-02-20 23:01:11","2022-02-20",605.2,1645398071000
"2022-02-21 00:01:11","2022-02-21",604.83,1645401671000
"2022-02-21 01:01:11","2022-02-21",604.57,1645405271000
"2022-02-21 02:01:11","2022-02-21",604.96,1645408871000
"2022-02-21 03:01:11","2022-02-21",605.99,1645412471000
"2022-02-21 04:01:11","2022-02-21",606.5,1645416071000
"2022-02-21 05:01:11","2022-02-21",603.21,1645419671000
"2022-02-21 06:01:11","2022-02-21",598.88,1645423271000
"2022-02-21 07:01:11","2022-02-21",594.28,1645426871000
"2022-02-21 08:01:11","2022-02-21",591.53,1645430471000
"2022-02-21 09:01:11","2022-02-21",590.0,1645434071000
"2022-02-21 10:01:11","2022-02-21",587.33,1645437671000
"2022-02-21 11:01:11","2022-02-21",582.82,1645441271000
"2022-02-21 12:01:11","2022-02-21",579.71,1645444871000
"2022-02-21 13:01:11","2022-02-21",578.56,1645448471000
"2022-02-21 14:01:11","2022-02-21",579.17,1645452071000
"2022-02-21 15:01:11","2022-02-21",580.03,1645455671000
"2022-02-21 16:01:11","2022-02-21",580.69,1645459271000
"2022-02-21 17:01:11","2022-02-21",580.4,1645462871000
"2022-02-21 18:01:11","2022-02-21",579.34,1645466471000
"2022-02-21 19:01:11","2022-02-21",578.48,1645470071000
"2022-02-21 20:01:11","2022-02-21",578.21,1645473671000
"2022-02-21 21:01:11","2022-02-21",578.28,1645477271000
