"datetime","date","turb-i-subdaily-ntu","epoch"
"2022-02-16 08:37:06","2022-02-16",29.4,1645000626000
"2022-02-16 08:38:19","2022-02-16",25.32,1645000699000
"2022-02-16 08:39:31","2022-02-16",22.42,1645000771000
"2022-02-16 08:40:43","2022-02-16",21.42,1645000843000
"2022-02-16 08:41:56","2022-02-16",20.94,1645000916000
"2022-02-16 08:43:09","2022-02-16",20.5,1645000989000
"2022-02-16 08:44:22","2022-02-16",20.1,1645001062000
"2022-02-16 08:45:35","2022-02-16",19.92,1645001135000
"2022-02-16 09:01:11","2022-02-16",19.87,1645002071000
"2022-02-16 11:37:06","2022-02-16",80.93,1645011426000
"2022-02-16 12:01:11","2022-02-16",79.39,1645012871000
"2022-02-16 13:01:11","2022-02-16",88.97,1645016471000
"2022-02-16 14:01:11","2022-02-16",80.31,1645020071000
"2022-02-16 15:01:11","2022-02-16",75.4,1645023671000
"2022-02-16 16:01:11","2022-02-16",74.55,1645027271000
"2022-02-16 17:01:11","2022-02-16",70.65,1645030871000
"2022-02-16 18:01:11","2022-02-16",74.43,1645034471000
"2022-02-16 19:01:11","2022-02-16",73.51,1645038071000
"2022-02-16 20:01:11","2022-02-16",73.92,1645041671000
"2022-02-16 21:01:11","2022-02-16",75.05,1645045271000
"2022-02-16 22:01:11","2022-02-16",71.16,1645048871000
"2022-02-16 23:01:11","2022-02-16",70.67,1645052471000
"2022-02-17 00:01:11","2022-02-17",72.46,1645056071000
"2022-02-17 01:01:11","2022-02-17",72.79,1645059671000
"2022-02-17 02:01:11","2022-02-17",69.82,1645063271000
"2022-02-17 03:01:11","2022-02-17",70.05,1645066871000
"2022-02-17 04:01:11","2022-02-17",68.79,1645070471000
"2022-02-17 05:01:11","2022-02-17",67.92,1645074071000
"2022-02-17 06:01:11","2022-02-17",66.6,1645077671000
"2022-02-17 07:01:11","2022-02-17",69.65,1645081271000
"2022-02-17 08:01:11","2022-02-17",71.91,1645084871000
"2022-02-17 09:01:11","2022-02-17",72.19,1645088471000
"2022-02-17 10:01:11","2022-02-17",73.44,1645092071000
"2022-02-17 11:01:11","2022-02-17",78.38,1645095671000
"2022-02-17 12:01:11","2022-02-17",81.08,1645099271000
"2022-02-17 13:01:11","2022-02-17",79.91,1645102871000
