"datetime","date","amm-i-subdaily-mgL","epoch"
"2019-01-02 00:02:12","2019-01-02",0.54,1546387332000
"2019-01-02 00:17:12","2019-01-02",0.533,1546388232000
"2019-01-02 00:32:12","2019-01-02",0.539,1546389132000
"2019-01-02 00:47:12","2019-01-02",0.544,1546390032000
"2019-01-02 01:02:12","2019-01-02",0.553,1546390932000
"2019-01-02 01:17:12","2019-01-02",0.559,1546391832000
"2019-01-02 01:32:12","2019-01-02",0.569,1546392732000
"2019-01-02 01:47:12","2019-01-02",0.568,1546393632000
"2019-01-02 02:02:12","2019-01-02",0.575,1546394532000
"2019-01-02 02:17:12","2019-01-02",0.583,1546395432000
"2019-01-02 02:32:13","2019-01-02",0.595,1546396333000
"2019-01-02 02:47:12","2019-01-02",0.598,1546397232000
"2019-01-02 03:02:12","2019-01-02",0.595,1546398132000
"2019-01-02 03:17:12","2019-01-02",0.598,1546399032000
"2019-01-02 03:32:12","2019-01-02",0.594,1546399932000
"2019-01-02 03:47:12","2019-01-02",0.599,1546400832000
"2019-01-02 04:02:12","2019-01-02",0.6,1546401732000
"2019-01-02 04:17:12","2019-01-02",0.589,1546402632000
"2019-01-02 04:32:12","2019-01-02",0.584,1546403532000
"2019-01-02 04:47:12","2019-01-02",0.591,1546404432000
"2019-01-02 05:02:13","2019-01-02",0.606,1546405333000
"2019-01-02 05:17:12","2019-01-02",0.623,1546406232000
"2019-01-02 05:32:12","2019-01-02",0.631,1546407132000
"2019-01-02 05:47:12","2019-01-02",0.644,1546408032000
"2019-01-02 06:02:12","2019-01-02",0.645,1546408932000
"2019-01-02 06:17:15","2019-01-02",0.638,1546409835000
"2019-01-02 06:32:13","2019-01-02",0.631,1546410733000
"2019-01-02 06:47:12","2019-01-02",0.623,1546411632000
"2019-01-02 07:02:12","2019-01-02",0.612,1546412532000
"2019-01-02 07:17:12","2019-01-02",0.634,1546413432000
"2019-01-02 07:32:12","2019-01-02",0.609,1546414332000
"2019-01-02 07:47:13","2019-01-02",0.604,1546415233000
"2019-01-02 08:02:12","2019-01-02",0.595,1546416132000
"2019-01-02 08:17:12","2019-01-02",0.592,1546417032000
"2019-01-02 08:32:12","2019-01-02",0.601,1546417932000
"2019-01-02 08:47:12","2019-01-02",0.575,1546418832000
"2019-01-02 09:02:12","2019-01-02",0.583,1546419732000
"2019-01-02 09:17:13","2019-01-02",0.575,1546420633000
"2019-01-02 09:32:12","2019-01-02",0.569,1546421532000
"2019-01-02 09:47:12","2019-01-02",0.55,1546422432000
"2019-01-02 10:02:14","2019-01-02",0.546,1546423334000
"2019-01-02 10:17:11","2019-01-02",0.544,1546424231000
"2019-01-02 10:32:11","2019-01-02",0.549,1546425131000
"2019-01-02 10:47:11","2019-01-02",0.538,1546426031000
"2019-01-02 11:02:11","2019-01-02",0.542,1546426931000
"2019-01-02 11:17:12","2019-01-02",0.537,1546427832000
"2019-01-02 11:32:14","2019-01-02",0.538,1546428734000
"2019-01-02 11:47:11","2019-01-02",0.544,1546429631000
"2019-01-02 12:02:11","2019-01-02",0.543,1546430531000
"2019-01-02 12:17:11","2019-01-02",0.548,1546431431000
"2019-01-02 12:32:11","2019-01-02",0.551,1546432331000
"2019-01-02 12:47:11","2019-01-02",0.551,1546433231000
"2019-01-02 13:02:14","2019-01-02",0.559,1546434134000
"2019-01-02 13:17:12","2019-01-02",0.564,1546435032000
"2019-01-02 13:32:11","2019-01-02",0.582,1546435931000
"2019-01-02 13:47:11","2019-01-02",0.577,1546436831000
"2019-01-02 14:02:14","2019-01-02",0.595,1546437734000
"2019-01-02 14:17:11","2019-01-02",0.59,1546438631000
"2019-01-02 14:32:11","2019-01-02",0.596,1546439531000
"2019-01-02 14:47:11","2019-01-02",0.591,1546440431000
"2019-01-02 15:02:11","2019-01-02",0.594,1546441331000
"2019-01-02 15:17:11","2019-01-02",0.589,1546442231000
"2019-01-02 15:32:11","2019-01-02",0.602,1546443131000
"2019-01-02 15:47:11","2019-01-02",0.606,1546444031000
"2019-01-02 16:02:11","2019-01-02",0.61,1546444931000
"2019-01-02 16:17:11","2019-01-02",0.622,1546445831000
"2019-01-02 16:32:11","2019-01-02",0.613,1546446731000
"2019-01-02 16:47:11","2019-01-02",0.608,1546447631000
"2019-01-02 17:02:11","2019-01-02",0.597,1546448531000
"2019-01-02 17:17:11","2019-01-02",0.592,1546449431000
"2019-01-02 17:32:11","2019-01-02",0.6,1546450331000
"2019-01-02 17:47:14","2019-01-02",0.607,1546451234000
"2019-01-02 18:02:12","2019-01-02",0.621,1546452132000
"2019-01-02 18:17:11","2019-01-02",0.623,1546453031000
"2019-01-02 18:32:11","2019-01-02",0.637,1546453931000
"2019-01-02 18:47:12","2019-01-02",0.623,1546454832000
"2019-01-02 19:02:12","2019-01-02",0.617,1546455732000
"2019-01-02 19:17:11","2019-01-02",0.598,1546456631000
"2019-01-02 19:32:11","2019-01-02",0.608,1546457531000
"2019-01-02 19:47:11","2019-01-02",0.608,1546458431000
"2019-01-02 20:02:11","2019-01-02",0.607,1546459331000
"2019-01-02 20:17:11","2019-01-02",0.607,1546460231000
"2019-01-02 20:32:11","2019-01-02",0.615,1546461131000
"2019-01-02 20:47:11","2019-01-02",0.617,1546462031000
"2019-01-02 21:02:11","2019-01-02",0.604,1546462931000
"2019-01-02 21:17:12","2019-01-02",0.6,1546463832000
"2019-01-02 21:32:12","2019-01-02",0.601,1546464732000
"2019-01-02 21:47:11","2019-01-02",0.603,1546465631000
"2019-01-02 22:02:11","2019-01-02",0.599,1546466531000
"2019-01-02 22:17:11","2019-01-02",0.597,1546467431000
"2019-01-02 22:32:11","2019-01-02",0.585,1546468331000
"2019-01-02 22:47:11","2019-01-02",0.575,1546469231000
"2019-01-02 23:02:11","2019-01-02",0.56,1546470131000
"2019-01-02 23:17:12","2019-01-02",0.55,1546471032000
"2019-01-02 23:32:11","2019-01-02",0.55,1546471931000
"2019-01-02 23:47:11","2019-01-02",0.539,1546472831000
"2019-01-03 00:02:12","2019-01-03",0.551,1546473732000
"2019-01-03 00:17:11","2019-01-03",0.543,1546474631000
"2019-01-03 00:32:11","2019-01-03",0.537,1546475531000
"2019-01-03 00:47:12","2019-01-03",0.547,1546476432000
"2019-01-03 01:02:11","2019-01-03",0.554,1546477331000
"2019-01-03 01:17:11","2019-01-03",0.555,1546478231000
"2019-01-03 01:32:12","2019-01-03",0.562,1546479132000
"2019-01-03 01:47:11","2019-01-03",0.564,1546480031000
"2019-01-03 02:02:11","2019-01-03",0.565,1546480931000
"2019-01-03 02:17:11","2019-01-03",0.575,1546481831000
"2019-01-03 02:47:11","2019-01-03",0.585,1546483631000
"2019-01-03 03:02:11","2019-01-03",0.585,1546484531000
"2019-01-03 03:17:11","2019-01-03",0.584,1546485431000
"2019-01-03 03:32:11","2019-01-03",0.591,1546486331000
"2019-01-03 03:47:12","2019-01-03",0.589,1546487232000
"2019-01-03 04:02:12","2019-01-03",0.579,1546488132000
"2019-01-03 04:17:11","2019-01-03",0.58,1546489031000
"2019-01-03 04:32:13","2019-01-03",0.585,1546489933000
"2019-01-03 04:47:11","2019-01-03",0.583,1546490831000
"2019-01-03 05:02:12","2019-01-03",0.592,1546491732000
"2019-01-03 05:17:12","2019-01-03",0.589,1546492632000
"2019-01-03 05:32:13","2019-01-03",0.584,1546493533000
"2019-01-03 05:47:11","2019-01-03",0.591,1546494431000
"2019-01-03 06:02:11","2019-01-03",0.607,1546495331000
"2019-01-03 06:17:11","2019-01-03",0.629,1546496231000
"2019-01-03 06:32:13","2019-01-03",0.635,1546497133000
"2019-01-03 06:47:12","2019-01-03",0.638,1546498032000
"2019-01-03 07:02:11","2019-01-03",0.646,1546498931000
"2019-01-03 07:17:12","2019-01-03",0.654,1546499832000
"2019-01-03 07:32:11","2019-01-03",0.634,1546500731000
"2019-01-03 07:47:11","2019-01-03",0.636,1546501631000
"2019-01-03 08:02:13","2019-01-03",0.639,1546502533000
"2019-01-03 08:17:11","2019-01-03",0.626,1546503431000
"2019-01-03 08:32:11","2019-01-03",0.618,1546504331000
"2019-01-03 08:47:11","2019-01-03",0.631,1546505231000
"2019-01-03 09:02:11","2019-01-03",0.612,1546506131000
"2019-01-03 09:17:11","2019-01-03",0.593,1546507031000
"2019-01-03 09:32:14","2019-01-03",0.591,1546507934000
"2019-01-03 09:47:12","2019-01-03",0.587,1546508832000
"2019-01-03 10:02:12","2019-01-03",0.584,1546509732000
"2019-01-03 10:17:11","2019-01-03",0.579,1546510631000
"2019-01-03 10:32:11","2019-01-03",0.572,1546511531000
"2019-01-03 10:47:11","2019-01-03",0.573,1546512431000
"2019-01-03 11:02:11","2019-01-03",0.561,1546513331000
"2019-01-03 11:17:11","2019-01-03",0.553,1546514231000
"2019-01-03 11:32:11","2019-01-03",0.549,1546515131000
"2019-01-03 11:47:14","2019-01-03",0.547,1546516034000
"2019-01-03 12:02:11","2019-01-03",0.547,1546516931000
"2019-01-03 12:17:11","2019-01-03",0.549,1546517831000
"2019-01-03 12:32:11","2019-01-03",0.548,1546518731000
"2019-01-03 12:47:11","2019-01-03",0.539,1546519631000
"2019-01-03 13:02:11","2019-01-03",0.55,1546520531000
"2019-01-03 13:17:14","2019-01-03",0.547,1546521434000
"2019-01-03 13:32:11","2019-01-03",0.552,1546522331000
"2019-01-03 13:47:11","2019-01-03",0.564,1546523231000
"2019-01-03 14:02:11","2019-01-03",0.556,1546524131000
"2019-01-03 14:17:11","2019-01-03",0.556,1546525031000
"2019-01-03 14:32:11","2019-01-03",0.56,1546525931000
"2019-01-03 14:47:11","2019-01-03",0.567,1546526831000
"2019-01-03 15:02:13","2019-01-03",0.577,1546527733000
"2019-01-03 15:17:11","2019-01-03",0.576,1546528631000
"2019-01-03 15:32:11","2019-01-03",0.574,1546529531000
"2019-01-03 15:47:11","2019-01-03",0.579,1546530431000
"2019-01-03 16:02:12","2019-01-03",0.583,1546531332000
"2019-01-03 16:17:12","2019-01-03",0.571,1546532232000
"2019-01-03 16:32:12","2019-01-03",0.58,1546533132000
"2019-01-03 16:47:12","2019-01-03",0.594,1546534032000
"2019-01-03 17:02:12","2019-01-03",0.585,1546534932000
"2019-01-03 17:17:12","2019-01-03",0.563,1546535832000
"2019-01-03 17:32:11","2019-01-03",0.567,1546536731000
"2019-01-03 17:47:11","2019-01-03",0.585,1546537631000
"2019-01-03 18:02:12","2019-01-03",0.594,1546538532000
"2019-01-03 18:17:11","2019-01-03",0.586,1546539431000
"2019-01-03 18:32:12","2019-01-03",0.598,1546540332000
"2019-01-03 18:47:12","2019-01-03",0.595,1546541232000
"2019-01-03 19:02:11","2019-01-03",0.595,1546542131000
"2019-01-03 19:17:11","2019-01-03",0.599,1546543031000
"2019-01-03 19:32:11","2019-01-03",0.604,1546543931000
"2019-01-03 19:47:11","2019-01-03",0.615,1546544831000
"2019-01-03 20:02:11","2019-01-03",0.617,1546545731000
"2019-01-03 20:17:12","2019-01-03",0.566,1546546632000
"2019-01-03 20:32:12","2019-01-03",0.586,1546547532000
"2019-01-03 20:47:12","2019-01-03",0.586,1546548432000
"2019-01-03 21:02:12","2019-01-03",0.582,1546549332000
"2019-01-03 21:17:11","2019-01-03",0.599,1546550231000
"2019-01-03 21:32:11","2019-01-03",0.597,1546551131000
"2019-01-03 21:47:11","2019-01-03",0.605,1546552031000
"2019-01-03 22:02:12","2019-01-03",0.583,1546552932000
"2019-01-03 22:17:12","2019-01-03",0.576,1546553832000
"2019-01-03 22:32:12","2019-01-03",0.575,1546554732000
"2019-01-03 22:47:11","2019-01-03",0.588,1546555631000
"2019-01-03 23:02:12","2019-01-03",0.58,1546556532000
"2019-01-03 23:17:11","2019-01-03",0.575,1546557431000
"2019-01-03 23:32:12","2019-01-03",0.567,1546558332000
"2019-01-03 23:47:11","2019-01-03",0.555,1546559231000
"2019-01-04 00:02:12","2019-01-04",0.552,1546560132000
"2019-01-04 00:17:11","2019-01-04",0.547,1546561031000
"2019-01-04 00:32:11","2019-01-04",0.551,1546561931000
"2019-01-04 00:47:12","2019-01-04",0.549,1546562832000
"2019-01-04 01:02:13","2019-01-04",0.554,1546563733000
"2019-01-04 01:17:11","2019-01-04",0.546,1546564631000
"2019-01-04 01:32:11","2019-01-04",0.559,1546565531000
"2019-01-04 01:47:11","2019-01-04",0.554,1546566431000
"2019-01-04 02:02:11","2019-01-04",0.558,1546567331000
"2019-01-04 02:17:11","2019-01-04",0.554,1546568231000
"2019-01-04 02:32:11","2019-01-04",0.558,1546569131000
"2019-01-04 02:47:11","2019-01-04",0.559,1546570031000
"2019-01-04 03:02:12","2019-01-04",0.568,1546570932000
"2019-01-04 03:17:12","2019-01-04",0.572,1546571832000
"2019-01-04 03:32:15","2019-01-04",0.567,1546572735000
"2019-01-04 03:47:12","2019-01-04",0.573,1546573632000
"2019-01-04 04:02:12","2019-01-04",0.569,1546574532000
"2019-01-04 04:17:13","2019-01-04",0.577,1546575433000
"2019-01-04 04:32:12","2019-01-04",0.571,1546576332000
"2019-01-04 04:47:11","2019-01-04",0.571,1546577231000
"2019-01-04 05:02:12","2019-01-04",0.569,1546578132000
"2019-01-04 05:17:13","2019-01-04",0.571,1546579033000
"2019-01-04 05:32:12","2019-01-04",0.576,1546579932000
"2019-01-04 05:47:11","2019-01-04",0.575,1546580831000
"2019-01-04 06:02:12","2019-01-04",0.579,1546581732000
"2019-01-04 06:17:13","2019-01-04",0.58,1546582633000
"2019-01-04 06:32:12","2019-01-04",0.581,1546583532000
"2019-01-04 06:47:11","2019-01-04",0.586,1546584431000
"2019-01-04 07:02:11","2019-01-04",0.591,1546585331000
"2019-01-04 07:17:11","2019-01-04",0.596,1546586231000
"2019-01-04 07:32:11","2019-01-04",0.61,1546587131000
"2019-01-04 07:47:11","2019-01-04",0.626,1546588031000
"2019-01-04 08:02:11","2019-01-04",0.621,1546588931000
"2019-01-04 08:17:11","2019-01-04",0.626,1546589831000
"2019-01-04 08:32:11","2019-01-04",0.622,1546590731000
"2019-01-04 08:47:12","2019-01-04",0.624,1546591632000
"2019-01-04 09:02:11","2019-01-04",0.613,1546592531000
"2019-01-04 09:17:11","2019-01-04",0.607,1546593431000
"2019-01-04 09:32:12","2019-01-04",0.59,1546594332000
"2019-01-04 09:47:12","2019-01-04",0.607,1546595232000
"2019-01-04 10:02:12","2019-01-04",0.599,1546596132000
"2019-01-04 10:17:11","2019-01-04",0.585,1546597031000
"2019-01-04 10:32:11","2019-01-04",0.584,1546597931000
"2019-01-04 10:47:12","2019-01-04",0.577,1546598832000
"2019-01-04 11:02:12","2019-01-04",0.577,1546599732000
"2019-01-04 11:17:11","2019-01-04",0.57,1546600631000
"2019-01-04 11:32:11","2019-01-04",0.574,1546601531000
"2019-01-04 11:47:11","2019-01-04",0.566,1546602431000
"2019-01-04 12:02:11","2019-01-04",0.564,1546603331000
"2019-01-04 12:17:11","2019-01-04",0.558,1546604231000
"2019-01-04 12:32:11","2019-01-04",0.552,1546605131000
"2019-01-04 12:47:11","2019-01-04",0.561,1546606031000
"2019-01-04 13:02:11","2019-01-04",0.555,1546606931000
"2019-01-04 13:17:11","2019-01-04",0.564,1546607831000
"2019-01-04 13:32:11","2019-01-04",0.564,1546608731000
"2019-01-04 13:47:12","2019-01-04",0.549,1546609632000
"2019-01-04 14:02:11","2019-01-04",0.56,1546610531000
"2019-01-04 14:17:11","2019-01-04",0.572,1546611431000
"2019-01-04 14:32:11","2019-01-04",0.564,1546612331000
"2019-01-04 14:47:11","2019-01-04",0.563,1546613231000
"2019-01-04 15:02:12","2019-01-04",0.565,1546614132000
"2019-01-04 15:17:12","2019-01-04",0.559,1546615032000
"2019-01-04 15:32:12","2019-01-04",0.575,1546615932000
"2019-01-04 15:47:12","2019-01-04",0.569,1546616832000
"2019-01-04 16:02:11","2019-01-04",0.567,1546617731000
"2019-01-04 16:17:11","2019-01-04",0.572,1546618631000
"2019-01-04 16:32:11","2019-01-04",0.568,1546619531000
"2019-01-04 16:47:11","2019-01-04",0.577,1546620431000
"2019-01-04 17:02:11","2019-01-04",0.571,1546621331000
"2019-01-04 17:17:12","2019-01-04",0.559,1546622232000
"2019-01-04 17:32:12","2019-01-04",0.57,1546623132000
"2019-01-04 17:47:11","2019-01-04",0.571,1546624031000
"2019-01-04 18:02:11","2019-01-04",0.571,1546624931000
