"datetime","date","cond-i-subdaily-uS","epoch"
"2021-01-02 00:02:11","2021-01-02",573.0,1609545731000
"2021-01-02 00:17:11","2021-01-02",575.0,1609546631000
"2021-01-02 00:32:11","2021-01-02",576.0,1609547531000
"2021-01-02 00:47:11","2021-01-02",574.0,1609548431000
"2021-01-02 01:02:11","2021-01-02",579.0,1609549331000
"2021-01-02 01:17:11","2021-01-02",579.0,1609550231000
"2021-01-02 01:32:11","2021-01-02",575.0,1609551131000
"2021-01-02 01:47:11","2021-01-02",577.0,1609552031000
"2021-01-02 02:02:11","2021-01-02",575.0,1609552931000
"2021-01-02 02:17:11","2021-01-02",575.0,1609553831000
"2021-01-02 02:32:11","2021-01-02",573.0,1609554731000
"2021-01-02 02:47:10","2021-01-02",573.0,1609555630000
"2021-01-02 03:02:11","2021-01-02",573.0,1609556531000
"2021-01-02 03:17:10","2021-01-02",573.0,1609557430000
"2021-01-02 03:32:10","2021-01-02",574.0,1609558330000
"2021-01-02 03:47:11","2021-01-02",574.0,1609559231000
"2021-01-02 04:02:10","2021-01-02",575.0,1609560130000
"2021-01-02 04:17:11","2021-01-02",574.0,1609561031000
"2021-01-02 04:32:11","2021-01-02",574.0,1609561931000
"2021-01-02 04:47:10","2021-01-02",574.0,1609562830000
"2021-01-02 05:02:11","2021-01-02",574.0,1609563731000
"2021-01-02 05:17:11","2021-01-02",574.0,1609564631000
"2021-01-02 05:32:11","2021-01-02",575.0,1609565531000
"2021-01-02 05:47:11","2021-01-02",574.0,1609566431000
"2021-01-02 06:02:11","2021-01-02",574.0,1609567331000
"2021-01-02 06:17:11","2021-01-02",575.0,1609568231000
"2021-01-02 06:32:11","2021-01-02",578.0,1609569131000
"2021-01-02 06:47:11","2021-01-02",581.0,1609570031000
"2021-01-02 07:02:11","2021-01-02",581.0,1609570931000
"2021-01-02 07:17:11","2021-01-02",584.0,1609571831000
"2021-01-02 07:32:11","2021-01-02",579.0,1609572731000
"2021-01-02 07:47:11","2021-01-02",583.0,1609573631000
"2021-01-02 08:02:11","2021-01-02",581.0,1609574531000
