"datetime","date","do-i-subdaily-mgL","epoch"
"2022-01-02 00:02:12","2022-01-02",10.71,1641081732000
"2022-01-02 00:17:12","2022-01-02",10.68,1641082632000
"2022-01-02 00:32:12","2022-01-02",10.64,1641083532000
"2022-01-02 00:47:12","2022-01-02",10.58,1641084432000
"2022-01-02 01:02:12","2022-01-02",10.55,1641085332000
"2022-01-02 01:17:12","2022-01-02",10.57,1641086232000
"2022-01-02 01:32:12","2022-01-02",10.59,1641087132000
"2022-01-02 01:47:12","2022-01-02",10.54,1641088032000
"2022-01-02 02:02:12","2022-01-02",10.55,1641088932000
"2022-01-02 02:17:12","2022-01-02",10.55,1641089832000
"2022-01-02 02:32:12","2022-01-02",10.6,1641090732000
"2022-01-02 02:47:12","2022-01-02",10.61,1641091632000
"2022-01-02 03:02:12","2022-01-02",10.64,1641092532000
"2022-01-02 03:17:12","2022-01-02",10.67,1641093432000
"2022-01-02 03:32:12","2022-01-02",10.7,1641094332000
"2022-01-02 03:47:12","2022-01-02",10.71,1641095232000
"2022-01-02 04:02:12","2022-01-02",10.72,1641096132000
"2022-01-02 04:17:12","2022-01-02",10.7,1641097032000
"2022-01-02 04:32:12","2022-01-02",10.72,1641097932000
"2022-01-02 04:47:12","2022-01-02",10.75,1641098832000
"2022-01-02 05:02:12","2022-01-02",10.79,1641099732000
"2022-01-02 05:17:13","2022-01-02",10.82,1641100633000
"2022-01-02 05:32:12","2022-01-02",10.82,1641101532000
"2022-01-02 05:47:12","2022-01-02",10.77,1641102432000
"2022-01-02 06:02:12","2022-01-02",10.75,1641103332000
"2022-01-02 06:17:12","2022-01-02",10.75,1641104232000
"2022-01-02 06:32:12","2022-01-02",10.78,1641105132000
"2022-01-02 06:47:12","2022-01-02",10.8,1641106032000
"2022-01-02 07:02:12","2022-01-02",10.82,1641106932000
"2022-01-02 07:17:12","2022-01-02",10.83,1641107832000
"2022-01-02 07:32:12","2022-01-02",10.84,1641108732000
"2022-01-02 07:47:12","2022-01-02",10.84,1641109632000
"2022-01-02 08:02:12","2022-01-02",10.84,1641110532000
"2022-01-02 08:17:12","2022-01-02",10.82,1641111432000
"2022-01-02 08:32:12","2022-01-02",10.81,1641112332000
"2022-01-02 08:47:12","2022-01-02",10.8,1641113232000
"2022-01-02 09:02:15","2022-01-02",10.82,1641114135000
"2022-01-02 09:17:12","2022-01-02",10.81,1641115032000
"2022-01-02 09:32:14","2022-01-02",10.77,1641115934000
"2022-01-02 09:47:12","2022-01-02",10.8,1641116832000
"2022-01-02 10:02:12","2022-01-02",10.76,1641117732000
"2022-01-02 10:17:12","2022-01-02",10.77,1641118632000
"2022-01-02 10:32:15","2022-01-02",10.75,1641119535000
"2022-01-02 10:47:12","2022-01-02",10.71,1641120432000
"2022-01-02 11:02:12","2022-01-02",10.65,1641121332000
"2022-01-02 11:17:12","2022-01-02",10.64,1641122232000
"2022-01-02 11:32:12","2022-01-02",10.63,1641123132000
"2022-01-02 11:47:12","2022-01-02",10.62,1641124032000
"2022-01-02 12:02:14","2022-01-02",10.6,1641124934000
"2022-01-02 12:17:12","2022-01-02",10.58,1641125832000
"2022-01-02 12:32:12","2022-01-02",10.55,1641126732000
"2022-01-02 12:47:12","2022-01-02",10.55,1641127632000
"2022-01-02 13:02:12","2022-01-02",10.52,1641128532000
"2022-01-02 13:17:12","2022-01-02",10.5,1641129432000
"2022-01-02 13:32:12","2022-01-02",10.53,1641130332000
"2022-01-02 13:47:12","2022-01-02",10.49,1641131232000
"2022-01-02 14:02:12","2022-01-02",10.51,1641132132000
"2022-01-02 14:17:12","2022-01-02",10.51,1641133032000
"2022-01-02 14:32:12","2022-01-02",10.52,1641133932000
"2022-01-02 14:47:12","2022-01-02",10.52,1641134832000
"2022-01-02 15:02:11","2022-01-02",10.54,1641135731000
"2022-01-02 15:17:12","2022-01-02",10.55,1641136632000
"2022-01-02 15:32:12","2022-01-02",10.56,1641137532000
"2022-01-02 15:47:15","2022-01-02",10.57,1641138435000
"2022-01-02 16:02:12","2022-01-02",10.58,1641139332000
"2022-01-02 16:17:11","2022-01-02",10.6,1641140231000
"2022-01-02 16:32:12","2022-01-02",10.62,1641141132000
"2022-01-02 16:47:12","2022-01-02",10.63,1641142032000
"2022-01-02 17:02:12","2022-01-02",10.64,1641142932000
"2022-01-02 17:17:14","2022-01-02",10.66,1641143834000
"2022-01-02 17:32:12","2022-01-02",10.7,1641144732000
"2022-01-02 17:47:12","2022-01-02",10.67,1641145632000
"2022-01-02 18:02:12","2022-01-02",10.63,1641146532000
"2022-01-02 18:17:12","2022-01-02",10.61,1641147432000
"2022-01-02 18:32:12","2022-01-02",10.61,1641148332000
"2022-01-02 18:47:12","2022-01-02",10.65,1641149232000
"2022-01-02 19:02:12","2022-01-02",10.68,1641150132000
"2022-01-02 19:17:12","2022-01-02",10.71,1641151032000
"2022-01-02 19:32:12","2022-01-02",10.73,1641151932000
"2022-01-02 19:47:12","2022-01-02",10.75,1641152832000
"2022-01-02 20:17:11","2022-01-02",10.75,1641154631000
"2022-01-02 20:32:12","2022-01-02",10.75,1641155532000
"2022-01-02 20:47:12","2022-01-02",10.74,1641156432000
"2022-01-02 21:02:14","2022-01-02",10.71,1641157334000
"2022-01-02 21:17:13","2022-01-02",10.69,1641158233000
"2022-01-02 21:32:14","2022-01-02",10.68,1641159134000
"2022-01-02 21:47:12","2022-01-02",10.68,1641160032000
"2022-01-02 22:02:12","2022-01-02",10.67,1641160932000
"2022-01-02 22:17:12","2022-01-02",10.65,1641161832000
"2022-01-02 22:32:12","2022-01-02",10.68,1641162732000
"2022-01-02 22:47:12","2022-01-02",10.64,1641163632000
"2022-01-02 23:02:15","2022-01-02",10.69,1641164535000
"2022-01-02 23:17:12","2022-01-02",10.69,1641165432000
"2022-01-02 23:32:14","2022-01-02",10.67,1641166334000
"2022-01-02 23:47:12","2022-01-02",10.63,1641167232000
"2022-01-03 00:02:12","2022-01-03",10.57,1641168132000
"2022-01-03 00:17:12","2022-01-03",10.54,1641169032000
"2022-01-03 00:32:15","2022-01-03",10.52,1641169935000
"2022-01-03 00:47:12","2022-01-03",10.51,1641170832000
"2022-01-03 01:02:12","2022-01-03",10.5,1641171732000
"2022-01-03 01:17:12","2022-01-03",10.49,1641172632000
"2022-01-03 01:32:12","2022-01-03",10.46,1641173532000
"2022-01-03 01:47:12","2022-01-03",10.46,1641174432000
"2022-01-03 02:02:12","2022-01-03",10.45,1641175332000
"2022-01-03 02:17:14","2022-01-03",10.45,1641176234000
"2022-01-03 02:32:12","2022-01-03",10.46,1641177132000
"2022-01-03 02:47:12","2022-01-03",10.45,1641178032000
"2022-01-03 03:02:12","2022-01-03",10.45,1641178932000
"2022-01-03 03:17:12","2022-01-03",10.47,1641179832000
"2022-01-03 03:32:12","2022-01-03",10.47,1641180732000
"2022-01-03 03:47:12","2022-01-03",10.48,1641181632000
"2022-01-03 04:02:12","2022-01-03",10.48,1641182532000
"2022-01-03 04:17:12","2022-01-03",10.5,1641183432000
"2022-01-03 04:32:12","2022-01-03",10.53,1641184332000
"2022-01-03 04:47:12","2022-01-03",10.55,1641185232000
"2022-01-03 05:02:12","2022-01-03",10.57,1641186132000
"2022-01-03 05:17:12","2022-01-03",10.56,1641187032000
"2022-01-03 05:32:13","2022-01-03",10.57,1641187933000
"2022-01-03 05:47:12","2022-01-03",10.6,1641188832000
"2022-01-03 06:02:12","2022-01-03",10.63,1641189732000
"2022-01-03 06:17:12","2022-01-03",10.59,1641190632000
"2022-01-03 06:32:12","2022-01-03",10.54,1641191532000
"2022-01-03 06:47:12","2022-01-03",10.51,1641192432000
"2022-01-03 07:02:12","2022-01-03",10.53,1641193332000
"2022-01-03 07:17:12","2022-01-03",10.57,1641194232000
"2022-01-03 07:47:12","2022-01-03",10.66,1641196032000
"2022-01-03 08:02:12","2022-01-03",10.7,1641196932000
"2022-01-03 08:17:13","2022-01-03",10.72,1641197833000
"2022-01-03 08:32:12","2022-01-03",10.74,1641198732000
"2022-01-03 08:47:12","2022-01-03",10.76,1641199632000
"2022-01-03 09:02:14","2022-01-03",10.75,1641200534000
"2022-01-03 09:17:12","2022-01-03",10.75,1641201432000
"2022-01-03 09:32:12","2022-01-03",10.74,1641202332000
"2022-01-03 09:47:12","2022-01-03",10.72,1641203232000
"2022-01-03 10:02:12","2022-01-03",10.73,1641204132000
"2022-01-03 10:17:12","2022-01-03",10.74,1641205032000
