"datetime","date","temp-i-subdaily-C","epoch"
"2018-01-02 00:02:10","2018-01-02",6.75,1514851330000
"2018-01-02 00:17:10","2018-01-02",6.81,1514852230000
"2018-01-02 00:32:11","2018-01-02",6.84,1514853131000
"2018-01-02 00:47:10","2018-01-02",6.79,1514854030000
"2018-01-02 01:02:10","2018-01-02",6.77,1514854930000
"2018-01-02 01:17:10","2018-01-02",6.74,1514855830000
"2018-01-02 01:32:10","2018-01-02",6.74,1514856730000
"2018-01-02 01:47:10","2018-01-02",6.74,1514857630000
"2018-01-02 02:02:10","2018-01-02",6.74,1514858530000
"2018-01-02 02:17:11","2018-01-02",6.73,1514859431000
"2018-01-02 02:32:11","2018-01-02",6.73,1514860331000
"2018-01-02 02:47:10","2018-01-02",6.73,1514861230000
"2018-01-02 03:02:10","2018-01-02",6.75,1514862130000
"2018-01-02 03:17:11","2018-01-02",6.77,1514863031000
"2018-01-02 03:32:11","2018-01-02",6.74,1514863931000
"2018-01-02 03:47:11","2018-01-02",6.68,1514864831000
"2018-01-02 04:02:10","2018-01-02",6.65,1514865730000
"2018-01-02 04:17:11","2018-01-02",6.64,1514866631000
"2018-01-02 04:32:10","2018-01-02",6.64,1514867530000
"2018-01-02 04:47:10","2018-01-02",6.66,1514868430000
"2018-01-02 05:02:10","2018-01-02",6.67,1514869330000
"2018-01-02 05:17:11","2018-01-02",6.7,1514870231000
"2018-01-02 05:32:10","2018-01-02",6.71,1514871130000
"2018-01-02 05:47:10","2018-01-02",6.74,1514872030000
"2018-01-02 06:02:11","2018-01-02",6.92,1514872931000
"2018-01-02 06:17:11","2018-01-02",7.03,1514873831000
"2018-01-02 06:32:11","2018-01-02",6.98,1514874731000
"2018-01-02 06:47:11","2018-01-02",6.9,1514875631000
"2018-01-02 07:02:11","2018-01-02",6.82,1514876531000
"2018-01-02 07:17:10","2018-01-02",6.74,1514877430000
"2018-01-02 07:32:11","2018-01-02",6.7,1514878331000
"2018-01-02 07:47:11","2018-01-02",6.65,1514879231000
"2018-01-02 08:02:11","2018-01-02",6.64,1514880131000
"2018-01-02 08:17:11","2018-01-02",6.63,1514881031000
"2018-01-02 08:32:11","2018-01-02",6.6,1514881931000
"2018-01-02 08:47:11","2018-01-02",6.6,1514882831000
"2018-01-02 09:02:11","2018-01-02",6.58,1514883731000
"2018-01-02 09:17:10","2018-01-02",6.58,1514884630000
"2018-01-02 09:32:11","2018-01-02",6.58,1514885531000
"2018-01-02 09:47:11","2018-01-02",6.58,1514886431000
"2018-01-02 10:02:11","2018-01-02",6.58,1514887331000
"2018-01-02 10:17:11","2018-01-02",6.58,1514888231000
"2018-01-02 10:32:11","2018-01-02",6.57,1514889131000
"2018-01-02 10:47:10","2018-01-02",6.57,1514890030000
"2018-01-02 11:02:10","2018-01-02",6.63,1514890930000
"2018-01-02 11:17:10","2018-01-02",6.63,1514891830000
"2018-01-02 11:32:11","2018-01-02",6.65,1514892731000
"2018-01-02 11:47:11","2018-01-02",6.67,1514893631000
"2018-01-02 12:02:10","2018-01-02",6.72,1514894530000
"2018-01-02 12:17:11","2018-01-02",6.78,1514895431000
"2018-01-02 12:32:11","2018-01-02",6.84,1514896331000
"2018-01-02 12:47:11","2018-01-02",6.8,1514897231000
"2018-01-02 13:02:10","2018-01-02",6.74,1514898130000
"2018-01-02 13:17:11","2018-01-02",6.71,1514899031000
"2018-01-02 13:32:10","2018-01-02",6.69,1514899930000
"2018-01-02 13:47:10","2018-01-02",6.68,1514900830000
"2018-01-02 14:02:11","2018-01-02",6.68,1514901731000
"2018-01-02 14:17:10","2018-01-02",6.68,1514902630000
"2018-01-02 14:32:11","2018-01-02",6.69,1514903531000
"2018-01-02 14:47:11","2018-01-02",6.7,1514904431000
"2018-01-02 15:02:10","2018-01-02",6.72,1514905330000
"2018-01-02 15:17:10","2018-01-02",6.73,1514906230000
"2018-01-02 15:32:10","2018-01-02",6.75,1514907130000
"2018-01-02 15:47:11","2018-01-02",6.79,1514908031000
"2018-01-02 16:02:11","2018-01-02",6.8,1514908931000
"2018-01-02 16:17:11","2018-01-02",6.77,1514909831000
"2018-01-02 16:32:11","2018-01-02",6.71,1514910731000
"2018-01-02 16:47:10","2018-01-02",6.69,1514911630000
"2018-01-02 17:02:10","2018-01-02",6.67,1514912530000
"2018-01-02 17:17:10","2018-01-02",6.67,1514913430000
"2018-01-02 17:32:11","2018-01-02",6.68,1514914331000
"2018-01-02 17:47:11","2018-01-02",6.69,1514915231000
"2018-01-02 18:02:10","2018-01-02",6.72,1514916130000
"2018-01-02 18:17:10","2018-01-02",6.88,1514917030000
"2018-01-02 18:32:11","2018-01-02",7.12,1514917931000
"2018-01-02 18:47:11","2018-01-02",7.18,1514918831000
"2018-01-02 19:02:10","2018-01-02",7.14,1514919730000
"2018-01-02 19:17:10","2018-01-02",7.07,1514920630000
"2018-01-02 19:32:10","2018-01-02",7.01,1514921530000
"2018-01-02 19:47:11","2018-01-02",6.95,1514922431000
"2018-01-02 20:02:11","2018-01-02",6.93,1514923331000
"2018-01-02 20:17:11","2018-01-02",6.93,1514924231000
"2018-01-02 20:32:11","2018-01-02",6.96,1514925131000
"2018-01-02 20:47:10","2018-01-02",6.96,1514926030000
"2018-01-02 21:02:10","2018-01-02",6.96,1514926930000
"2018-01-02 21:17:11","2018-01-02",6.99,1514927831000
"2018-01-02 21:32:11","2018-01-02",7.02,1514928731000
"2018-01-02 21:47:11","2018-01-02",7.06,1514929631000
"2018-01-02 22:02:10","2018-01-02",7.09,1514930530000
"2018-01-02 22:17:11","2018-01-02",7.11,1514931431000
"2018-01-02 22:32:10","2018-01-02",7.16,1514932330000
"2018-01-02 22:47:11","2018-01-02",7.21,1514933231000
"2018-01-02 23:02:10","2018-01-02",7.22,1514934130000
"2018-01-02 23:17:11","2018-01-02",7.22,1514935031000
"2018-01-02 23:32:11","2018-01-02",7.25,1514935931000
"2018-01-02 23:47:11","2018-01-02",7.23,1514936831000
"2018-01-03 00:02:11","2018-01-03",7.36,1514937731000
"2018-01-03 00:17:10","2018-01-03",7.31,1514938630000
"2018-01-03 00:32:10","2018-01-03",7.22,1514939530000
"2018-01-03 00:47:10","2018-01-03",7.2,1514940430000
"2018-01-03 01:02:10","2018-01-03",7.17,1514941330000
"2018-01-03 01:17:11","2018-01-03",7.14,1514942231000
"2018-01-03 01:32:11","2018-01-03",7.17,1514943131000
"2018-01-03 01:47:11","2018-01-03",7.19,1514944031000
"2018-01-03 02:02:11","2018-01-03",7.12,1514944931000
"2018-01-03 02:17:11","2018-01-03",7.08,1514945831000
"2018-01-03 02:32:11","2018-01-03",7.0,1514946731000
"2018-01-03 02:47:11","2018-01-03",6.98,1514947631000
"2018-01-03 03:02:11","2018-01-03",7.01,1514948531000
