"datetime","date","level-i-900-m-qualified","epoch"
"2021-01-02 00:00:00","2021-01-02",0.589,1609545600000
"2021-01-02 00:15:00","2021-01-02",0.59,1609546500000
"2021-01-02 00:30:00","2021-01-02",0.584,1609547400000
"2021-01-02 00:45:00","2021-01-02",0.588,1609548300000
"2021-01-02 01:00:00","2021-01-02",0.586,1609549200000
"2021-01-02 01:15:00","2021-01-02",0.587,1609550100000
"2021-01-02 01:30:00","2021-01-02",0.589,1609551000000
"2021-01-02 01:45:00","2021-01-02",0.591,1609551900000
"2021-01-02 02:00:00","2021-01-02",0.587,1609552800000
"2021-01-02 02:15:00","2021-01-02",0.589,1609553700000
"2021-01-02 02:30:00","2021-01-02",0.587,1609554600000
"2021-01-02 02:45:00","2021-01-02",0.588,1609555500000
"2021-01-02 03:00:00","2021-01-02",0.587,1609556400000
"2021-01-02 03:15:00","2021-01-02",0.587,1609557300000
"2021-01-02 03:30:00","2021-01-02",0.587,1609558200000
"2021-01-02 03:45:00","2021-01-02",0.585,1609559100000
"2021-01-02 04:00:00","2021-01-02",0.589,1609560000000
"2021-01-02 04:15:00","2021-01-02",0.586,1609560900000
"2021-01-02 04:30:00","2021-01-02",0.585,1609561800000
"2021-01-02 04:45:00","2021-01-02",0.584,1609562700000
"2021-01-02 05:00:00","2021-01-02",0.582,1609563600000
"2021-01-02 05:15:00","2021-01-02",0.582,1609564500000
"2021-01-02 05:30:00","2021-01-02",0.581,1609565400000
"2021-01-02 05:45:00","2021-01-02",0.581,1609566300000
"2021-01-02 06:00:00","2021-01-02",0.581,1609567200000
"2021-01-02 06:15:00","2021-01-02",0.581,1609568100000
"2021-01-02 06:30:00","2021-01-02",0.582,1609569000000
"2021-01-02 06:45:00","2021-01-02",0.582,1609569900000
"2021-01-02 07:00:00","2021-01-02",0.581,1609570800000
"2021-01-02 07:15:00","2021-01-02",0.579,1609571700000
"2021-01-02 07:30:00","2021-01-02",0.581,1609572600000
"2021-01-02 07:45:00","2021-01-02",0.583,1609573500000
"2021-01-02 08:00:00","2021-01-02",0.58,1609574400000
"2021-01-02 08:15:00","2021-01-02",0.583,1609575300000
"2021-01-02 08:30:00","2021-01-02",0.576,1609576200000
"2021-01-02 08:45:00","2021-01-02",0.576,1609577100000
"2021-01-02 09:00:00","2021-01-02",0.577,1609578000000
"2021-01-02 09:15:00","2021-01-02",0.581,1609578900000
"2021-01-02 09:30:00","2021-01-02",0.575,1609579800000
"2021-01-02 09:45:00","2021-01-02",0.577,1609580700000
"2021-01-02 10:00:00","2021-01-02",0.58,1609581600000
"2021-01-02 10:15:00","2021-01-02",0.577,1609582500000
"2021-01-02 10:30:00","2021-01-02",0.574,1609583400000
"2021-01-02 10:45:00","2021-01-02",0.581,1609584300000
"2021-01-02 11:00:00","2021-01-02",0.577,1609585200000
"2021-01-02 11:15:00","2021-01-02",0.58,1609586100000
"2021-01-02 11:30:00","2021-01-02",0.574,1609587000000
"2021-01-02 11:45:00","2021-01-02",0.578,1609587900000
"2021-01-02 12:00:00","2021-01-02",0.576,1609588800000
"2021-01-02 12:15:00","2021-01-02",0.575,1609589700000
"2021-01-02 12:30:00","2021-01-02",0.574,1609590600000
"2021-01-02 12:45:00","2021-01-02",0.576,1609591500000
"2021-01-02 13:00:00","2021-01-02",0.574,1609592400000
"2021-01-02 13:15:00","2021-01-02",0.578,1609593300000
"2021-01-02 13:30:00","2021-01-02",0.577,1609594200000
"2021-01-02 13:45:00","2021-01-02",0.577,1609595100000
"2021-01-02 14:00:00","2021-01-02",0.571,1609596000000
"2021-01-02 14:15:00","2021-01-02",0.575,1609596900000
"2021-01-02 14:30:00","2021-01-02",0.575,1609597800000
"2021-01-02 14:45:00","2021-01-02",0.572,1609598700000
"2021-01-02 15:00:00","2021-01-02",0.571,1609599600000
"2021-01-02 15:15:00","2021-01-02",0.573,1609600500000
"2021-01-02 15:30:00","2021-01-02",0.576,1609601400000
"2021-01-02 15:45:00","2021-01-02",0.572,1609602300000
"2021-01-02 16:00:00","2021-01-02",0.568,1609603200000
"2021-01-02 16:15:00","2021-01-02",0.57,1609604100000
"2021-01-02 16:30:00","2021-01-02",0.569,1609605000000
"2021-01-02 16:45:00","2021-01-02",0.571,1609605900000
"2021-01-02 17:00:00","2021-01-02",0.566,1609606800000
"2021-01-02 17:15:00","2021-01-02",0.572,1609607700000
"2021-01-02 17:30:00","2021-01-02",0.571,1609608600000
"2021-01-02 17:45:00","2021-01-02",0.57,1609609500000
"2021-01-02 18:00:00","2021-01-02",0.57,1609610400000
"2021-01-02 18:15:00","2021-01-02",0.567,1609611300000
"2021-01-02 18:30:00","2021-01-02",0.568,1609612200000
"2021-01-02 18:45:00","2021-01-02",0.569,1609613100000
"2021-01-02 19:00:00","2021-01-02",0.571,1609614000000
"2021-01-02 19:15:00","2021-01-02",0.567,1609614900000
"2021-01-02 19:30:00","2021-01-02",0.568,1609615800000
"2021-01-02 19:45:00","2021-01-02",0.565,1609616700000
"2021-01-02 20:00:00","2021-01-02",0.568,1609617600000
"2021-01-02 20:15:00","2021-01-02",0.568,1609618500000
"2021-01-02 20:30:00","2021-01-02",0.567,1609619400000
"2021-01-02 20:45:00","2021-01-02",0.571,1609620300000
"2021-01-02 21:00:00","2021-01-02",0.565,1609621200000
"2021-01-02 21:15:00","2021-01-02",0.568,1609622100000
"2021-01-02 21:30:00","2021-01-02",0.569,1609623000000
"2021-01-02 21:45:00","2021-01-02",0.565,1609623900000
"2021-01-02 22:00:00","2021-01-02",0.563,1609624800000
"2021-01-02 22:15:00","2021-01-02",0.563,1609625700000
"2021-01-02 22:30:00","2021-01-02",0.563,1609626600000
"2021-01-02 22:45:00","2021-01-02",0.565,1609627500000
"2021-01-02 23:00:00","2021-01-02",0.566,1609628400000
"2021-01-02 23:15:00","2021-01-02",0.564,1609629300000
"2021-01-02 23:30:00","2021-01-02",0.562,1609630200000
"2021-01-02 23:45:00","2021-01-02",0.564,1609631100000
"2021-01-03 00:00:00","2021-01-03",0.564,1609632000000
"2021-01-03 00:15:00","2021-01-03",0.563,1609632900000
"2021-01-03 00:30:00","2021-01-03",0.559,1609633800000
"2021-01-03 00:45:00","2021-01-03",0.563,1609634700000
"2021-01-03 01:00:00","2021-01-03",0.563,1609635600000
"2021-01-03 01:15:00","2021-01-03",0.56,1609636500000
"2021-01-03 01:30:00","2021-01-03",0.561,1609637400000
"2021-01-03 01:45:00","2021-01-03",0.56,1609638300000
"2021-01-03 02:00:00","2021-01-03",0.563,1609639200000
"2021-01-03 02:15:00","2021-01-03",0.557,1609640100000
"2021-01-03 02:30:00","2021-01-03",0.558,1609641000000
"2021-01-03 02:45:00","2021-01-03",0.559,1609641900000
"2021-01-03 03:00:00","2021-01-03",0.56,1609642800000
"2021-01-03 03:15:00","2021-01-03",0.56,1609643700000
"2021-01-03 03:30:00","2021-01-03",0.559,1609644600000
"2021-01-03 03:45:00","2021-01-03",0.558,1609645500000
"2021-01-03 04:00:00","2021-01-03",0.556,1609646400000
"2021-01-03 04:15:00","2021-01-03",0.56,1609647300000
"2021-01-03 04:30:00","2021-01-03",0.555,1609648200000
"2021-01-03 04:45:00","2021-01-03",0.554,1609649100000
"2021-01-03 05:00:00","2021-01-03",0.556,1609650000000
"2021-01-03 05:15:00","2021-01-03",0.557,1609650900000
"2021-01-03 05:30:00","2021-01-03",0.556,1609651800000
"2021-01-03 05:45:00","2021-01-03",0.556,1609652700000
"2021-01-03 06:00:00","2021-01-03",0.555,1609653600000
"2021-01-03 06:15:00","2021-01-03",0.555,1609654500000
"2021-01-03 06:30:00","2021-01-03",0.556,1609655400000
"2021-01-03 06:45:00","2021-01-03",0.556,1609656300000
"2021-01-03 07:00:00","2021-01-03",0.554,1609657200000
"2021-01-03 07:15:00","2021-01-03",0.557,1609658100000
"2021-01-03 07:30:00","2021-01-03",0.556,1609659000000
"2021-01-03 07:45:00","2021-01-03",0.554,1609659900000
"2021-01-03 08:00:00","2021-01-03",0.553,1609660800000
"2021-01-03 08:15:00","2021-01-03",0.557,1609661700000
"2021-01-03 08:30:00","2021-01-03",0.553,1609662600000
"2021-01-03 08:45:00","2021-01-03",0.553,1609663500000
"2021-01-03 09:00:00","2021-01-03",0.555,1609664400000
"2021-01-03 09:15:00","2021-01-03",0.553,1609665300000
"2021-01-03 09:30:00","2021-01-03",0.552,1609666200000
"2021-01-03 09:45:00","2021-01-03",0.553,1609667100000
"2021-01-03 10:00:00","2021-01-03",0.553,1609668000000
"2021-01-03 10:15:00","2021-01-03",0.551,1609668900000
"2021-01-03 10:30:00","2021-01-03",0.549,1609669800000
"2021-01-03 10:45:00","2021-01-03",0.549,1609670700000
"2021-01-03 11:00:00","2021-01-03",0.549,1609671600000
"2021-01-03 11:15:00","2021-01-03",0.55,1609672500000
"2021-01-03 11:30:00","2021-01-03",0.552,1609673400000
"2021-01-03 11:45:00","2021-01-03",0.549,1609674300000
"2021-01-03 12:00:00","2021-01-03",0.548,1609675200000
"2021-01-03 12:15:00","2021-01-03",0.545,1609676100000
"2021-01-03 12:30:00","2021-01-03",0.544,1609677000000
"2021-01-03 12:45:00","2021-01-03",0.543,1609677900000
"2021-01-03 13:00:00","2021-01-03",0.542,1609678800000
"2021-01-03 13:15:00","2021-01-03",0.539,1609679700000
"2021-01-03 13:30:00","2021-01-03",0.541,1609680600000
"2021-01-03 13:45:00","2021-01-03",0.539,1609681500000
"2021-01-03 14:00:00","2021-01-03",0.535,1609682400000
"2021-01-03 14:15:00","2021-01-03",0.539,1609683300000
"2021-01-03 14:30:00","2021-01-03",0.539,1609684200000
"2021-01-03 14:45:00","2021-01-03",0.541,1609685100000
"2021-01-03 15:00:00","2021-01-03",0.539,1609686000000
"2021-01-03 15:15:00","2021-01-03",0.538,1609686900000
"2021-01-03 15:30:00","2021-01-03",0.539,1609687800000
"2021-01-03 15:45:00","2021-01-03",0.536,1609688700000
"2021-01-03 16:00:00","2021-01-03",0.536,1609689600000
"2021-01-03 16:15:00","2021-01-03",0.536,1609690500000
"2021-01-03 16:30:00","2021-01-03",0.537,1609691400000
"2021-01-03 16:45:00","2021-01-03",0.536,1609692300000
