"datetime","date","flow-i-900-m3s-qualified","epoch"
"2020-01-02 00:00:00","2020-01-02",1.75,1577923200000
"2020-01-02 00:15:00","2020-01-02",1.74,1577924100000
"2020-01-02 00:30:00","2020-01-02",1.74,1577925000000
"2020-01-02 00:45:00","2020-01-02",1.77,1577925900000
"2020-01-02 01:00:00","2020-01-02",1.74,1577926800000
"2020-01-02 01:15:00","2020-01-02",1.68,1577927700000
"2020-01-02 01:30:00","2020-01-02",1.74,1577928600000
"2020-01-02 01:45:00","2020-01-02",1.8,1577929500000
"2020-01-02 02:00:00","2020-01-02",1.77,1577930400000
"2020-01-02 02:15:00","2020-01-02",1.76,1577931300000
"2020-01-02 02:30:00","2020-01-02",1.73,1577932200000
"2020-01-02 02:45:00","2020-01-02",1.76,1577933100000
"2020-01-02 03:00:00","2020-01-02",1.69,1577934000000
"2020-01-02 03:15:00","2020-01-02",1.75,1577934900000
"2020-01-02 03:30:00","2020-01-02",1.75,1577935800000
"2020-01-02 03:45:00","2020-01-02",1.75,1577936700000
"2020-01-02 04:00:00","2020-01-02",1.75,1577937600000
"2020-01-02 04:15:00","2020-01-02",1.72,1577938500000
"2020-01-02 04:30:00","2020-01-02",1.75,1577939400000
"2020-01-02 04:45:00","2020-01-02",1.75,1577940300000
"2020-01-02 05:00:00","2020-01-02",1.72,1577941200000
"2020-01-02 05:15:00","2020-01-02",1.74,1577942100000
"2020-01-02 05:30:00","2020-01-02",1.74,1577943000000
"2020-01-02 05:45:00","2020-01-02",1.77,1577943900000
"2020-01-02 06:00:00","2020-01-02",1.74,1577944800000
"2020-01-02 06:15:00","2020-01-02",1.7,1577945700000
"2020-01-02 06:30:00","2020-01-02",1.76,1577946600000
"2020-01-02 06:45:00","2020-01-02",1.79,1577947500000
"2020-01-02 07:00:00","2020-01-02",1.75,1577948400000
"2020-01-02 07:15:00","2020-01-02",1.72,1577949300000
"2020-01-02 07:30:00","2020-01-02",1.69,1577950200000
"2020-01-02 07:45:00","2020-01-02",1.68,1577951100000
"2020-01-02 08:00:00","2020-01-02",1.68,1577952000000
"2020-01-02 08:15:00","2020-01-02",1.68,1577952900000
"2020-01-02 08:30:00","2020-01-02",1.67,1577953800000
"2020-01-02 08:45:00","2020-01-02",1.76,1577954700000
"2020-01-02 09:00:00","2020-01-02",1.67,1577955600000
"2020-01-02 09:15:00","2020-01-02",1.69,1577956500000
"2020-01-02 09:30:00","2020-01-02",1.72,1577957400000
"2020-01-02 09:45:00","2020-01-02",1.66,1577958300000
"2020-01-02 10:00:00","2020-01-02",1.72,1577959200000
"2020-01-02 10:15:00","2020-01-02",1.65,1577960100000
"2020-01-02 10:30:00","2020-01-02",1.65,1577961000000
"2020-01-02 10:45:00","2020-01-02",1.68,1577961900000
"2020-01-02 11:00:00","2020-01-02",1.7,1577962800000
"2020-01-02 11:15:00","2020-01-02",1.67,1577963700000
"2020-01-02 11:30:00","2020-01-02",1.67,1577964600000
"2020-01-02 11:45:00","2020-01-02",1.67,1577965500000
"2020-01-02 12:00:00","2020-01-02",1.67,1577966400000
"2020-01-02 12:15:00","2020-01-02",1.61,1577967300000
"2020-01-02 12:30:00","2020-01-02",1.63,1577968200000
"2020-01-02 12:45:00","2020-01-02",1.63,1577969100000
"2020-01-02 13:00:00","2020-01-02",1.66,1577970000000
"2020-01-02 13:15:00","2020-01-02",1.69,1577970900000
"2020-01-02 13:30:00","2020-01-02",1.66,1577971800000
"2020-01-02 13:45:00","2020-01-02",1.62,1577972700000
"2020-01-02 14:00:00","2020-01-02",1.65,1577973600000
"2020-01-02 14:15:00","2020-01-02",1.59,1577974500000
"2020-01-02 14:30:00","2020-01-02",1.65,1577975400000
"2020-01-02 14:45:00","2020-01-02",1.68,1577976300000
"2020-01-02 15:00:00","2020-01-02",1.56,1577977200000
"2020-01-02 15:15:00","2020-01-02",1.67,1577978100000
"2020-01-02 15:30:00","2020-01-02",1.64,1577979000000
"2020-01-02 15:45:00","2020-01-02",1.7,1577979900000
"2020-01-02 16:00:00","2020-01-02",1.61,1577980800000
"2020-01-02 16:15:00","2020-01-02",1.67,1577981700000
"2020-01-02 16:30:00","2020-01-02",1.67,1577982600000
"2020-01-02 16:45:00","2020-01-02",1.7,1577983500000
"2020-01-02 17:00:00","2020-01-02",1.63,1577984400000
"2020-01-02 17:15:00","2020-01-02",1.66,1577985300000
"2020-01-02 17:30:00","2020-01-02",1.63,1577986200000
"2020-01-02 17:45:00","2020-01-02",1.59,1577987100000
"2020-01-02 18:00:00","2020-01-02",1.65,1577988000000
"2020-01-02 18:15:00","2020-01-02",1.62,1577988900000
"2020-01-02 18:30:00","2020-01-02",1.65,1577989800000
"2020-01-02 18:45:00","2020-01-02",1.64,1577990700000
"2020-01-02 19:00:00","2020-01-02",1.64,1577991600000
"2020-01-02 19:15:00","2020-01-02",1.59,1577992500000
"2020-01-02 19:30:00","2020-01-02",1.61,1577993400000
"2020-01-02 19:45:00","2020-01-02",1.61,1577994300000
"2020-01-02 20:00:00","2020-01-02",1.64,1577995200000
"2020-01-02 20:15:00","2020-01-02",1.67,1577996100000
"2020-01-02 20:30:00","2020-01-02",1.63,1577997000000
"2020-01-02 20:45:00","2020-01-02",1.63,1577997900000
"2020-01-02 21:00:00","2020-01-02",1.63,1577998800000
"2020-01-02 21:15:00","2020-01-02",1.6,1577999700000
"2020-01-02 21:30:00","2020-01-02",1.59,1578000600000
"2020-01-02 21:45:00","2020-01-02",1.65,1578001500000
"2020-01-02 22:00:00","2020-01-02",1.66,1578002400000
"2020-01-02 22:15:00","2020-01-02",1.63,1578003300000
"2020-01-02 22:30:00","2020-01-02",1.6,1578004200000
"2020-01-02 22:45:00","2020-01-02",1.6,1578005100000
"2020-01-02 23:00:00","2020-01-02",1.6,1578006000000
"2020-01-02 23:15:00","2020-01-02",1.57,1578006900000
"2020-01-02 23:30:00","2020-01-02",1.61,1578007800000
"2020-01-02 23:45:00","2020-01-02",1.61,1578008700000
"2020-01-03 00:00:00","2020-01-03",1.62,1578009600000
"2020-01-03 00:15:00","2020-01-03",1.62,1578010500000
"2020-01-03 00:30:00","2020-01-03",1.62,1578011400000
"2020-01-03 00:45:00","2020-01-03",1.6,1578012300000
"2020-01-03 01:00:00","2020-01-03",1.57,1578013200000
"2020-01-03 01:15:00","2020-01-03",1.64,1578014100000
"2020-01-03 01:30:00","2020-01-03",1.67,1578015000000
"2020-01-03 01:45:00","2020-01-03",1.62,1578015900000
"2020-01-03 02:00:00","2020-01-03",1.59,1578016800000
"2020-01-03 02:15:00","2020-01-03",1.62,1578017700000
"2020-01-03 02:30:00","2020-01-03",1.59,1578018600000
"2020-01-03 02:45:00","2020-01-03",1.63,1578019500000
"2020-01-03 03:00:00","2020-01-03",1.63,1578020400000
"2020-01-03 03:15:00","2020-01-03",1.59,1578021300000
"2020-01-03 03:30:00","2020-01-03",1.62,1578022200000
"2020-01-03 03:45:00","2020-01-03",1.65,1578023100000
"2020-01-03 04:00:00","2020-01-03",1.64,1578024000000
"2020-01-03 04:15:00","2020-01-03",1.64,1578024900000
"2020-01-03 04:30:00","2020-01-03",1.64,1578025800000
"2020-01-03 04:45:00","2020-01-03",1.62,1578026700000
"2020-01-03 05:00:00","2020-01-03",1.64,1578027600000
"2020-01-03 05:15:00","2020-01-03",1.64,1578028500000
"2020-01-03 05:30:00","2020-01-03",1.64,1578029400000
"2020-01-03 05:45:00","2020-01-03",1.62,1578030300000
"2020-01-03 06:00:00","2020-01-03",1.64,1578031200000
"2020-01-03 06:15:00","2020-01-03",1.62,1578032100000
"2020-01-03 06:30:00","2020-01-03",1.64,1578033000000
"2020-01-03 06:45:00","2020-01-03",1.64,1578033900000
"2020-01-03 07:00:00","2020-01-03",1.64,1578034800000
"2020-01-03 07:15:00","2020-01-03",1.67,1578035700000
"2020-01-03 07:30:00","2020-01-03",1.66,1578036600000
"2020-01-03 07:45:00","2020-01-03",1.68,1578037500000
"2020-01-03 08:00:00","2020-01-03",1.64,1578038400000
"2020-01-03 08:15:00","2020-01-03",1.58,1578039300000
"2020-01-03 08:30:00","2020-01-03",1.64,1578040200000
"2020-01-03 08:45:00","2020-01-03",1.66,1578041100000
"2020-01-03 09:00:00","2020-01-03",1.62,1578042000000
"2020-01-03 09:15:00","2020-01-03",1.59,1578042900000
"2020-01-03 09:30:00","2020-01-03",1.64,1578043800000
"2020-01-03 09:45:00","2020-01-03",1.63,1578044700000
"2020-01-03 10:00:00","2020-01-03",1.59,1578045600000
"2020-01-03 10:15:00","2020-01-03",1.62,1578046500000
"2020-01-03 10:30:00","2020-01-03",1.64,1578047400000
"2020-01-03 10:45:00","2020-01-03",1.64,1578048300000
"2020-01-03 11:00:00","2020-01-03",1.63,1578049200000
"2020-01-03 11:15:00","2020-01-03",1.54,1578050100000
"2020-01-03 11:30:00","2020-01-03",1.62,1578051000000
"2020-01-03 11:45:00","2020-01-03",1.61,1578051900000
"2020-01-03 12:00:00","2020-01-03",1.58,1578052800000
"2020-01-03 12:15:00","2020-01-03",1.58,1578053700000
"2020-01-03 12:30:00","2020-01-03",1.61,1578054600000
"2020-01-03 12:45:00","2020-01-03",1.63,1578055500000
"2020-01-03 13:00:00","2020-01-03",1.6,1578056400000
"2020-01-03 13:15:00","2020-01-03",1.63,1578057300000
"2020-01-03 13:30:00","2020-01-03",1.54,1578058200000
"2020-01-03 13:45:00","2020-01-03",1.59,1578059100000
"2020-01-03 14:00:00","2020-01-03",1.56,1578060000000
"2020-01-03 14:15:00","2020-01-03",1.55,1578060900000
"2020-01-03 14:30:00","2020-01-03",1.61,1578061800000
"2020-01-03 14:45:00","2020-01-03",1.57,1578062700000
"2020-01-03 15:00:00","2020-01-03",1.6,1578063600000
"2020-01-03 15:15:00","2020-01-03",1.6,1578064500000
"2020-01-03 15:30:00","2020-01-03",1.59,1578065400000
"2020-01-03 15:45:00","2020-01-03",1.59,1578066300000
"2020-01-03 16:00:00","2020-01-03",1.59,1578067200000
"2020-01-03 16:15:00","2020-01-03",1.58,1578068100000
"2020-01-03 16:30:00","2020-01-03",1.58,1578069000000
"2020-01-03 16:45:00","2020-01-03",1.58,1578069900000
"2020-01-03 17:00:00","2020-01-03",1.58,1578070800000
"2020-01-03 17:15:00","2020-01-03",1.58,1578071700000
"2020-01-03 17:30:00","2020-01-03",1.54,1578072600000
"2020-01-03 17:45:00","2020-01-03",1.58,1578073500000
"2020-01-03 18:00:00","2020-01-03",1.56,1578074400000
"2020-01-03 18:15:00","2020-01-03",1.56,1578075300000
"2020-01-03 18:30:00","2020-01-03",1.56,1578076200000
"2020-01-03 18:45:00","2020-01-03",1.57,1578077100000
"2020-01-03 19:00:00","2020-01-03",1.57,1578078000000
"2020-01-03 19:15:00","2020-01-03",1.56,1578078900000
"2020-01-03 19:30:00","2020-01-03",1.56,1578079800000
"2020-01-03 19:45:00","2020-01-03",1.54,1578080700000
"2020-01-03 20:00:00","2020-01-03",1.55,1578081600000
"2020-01-03 20:15:00","2020-01-03",1.55,1578082500000
"2020-01-03 20:30:00","2020-01-03",1.53,1578083400000
"2020-01-03 20:45:00","2020-01-03",1.54,1578084300000
"2020-01-03 21:00:00","2020-01-03",1.54,1578085200000
"2020-01-03 21:15:00","2020-01-03",1.53,1578086100000
"2020-01-03 21:30:00","2020-01-03",1.53,1578087000000
"2020-01-03 21:45:00","2020-01-03",1.53,1578087900000
"2020-01-03 22:00:00","2020-01-03",1.54,1578088800000
"2020-01-03 22:15:00","2020-01-03",1.53,1578089700000
"2020-01-03 22:30:00","2020-01-03",1.53,1578090600000
"2020-01-03 22:45:00","2020-01-03",1.53,1578091500000
"2020-01-03 23:00:00","2020-01-03",1.53,1578092400000
"2020-01-03 23:15:00","2020-01-03",1.52,1578093300000
