"datetime","date","level-i-900-m-qualified","epoch"
"2019-01-02 00:00:00","2019-01-02",-0.026,1546387200000
"2019-01-02 00:15:00","2019-01-02",-0.026,1546388100000
"2019-01-02 00:30:00","2019-01-02",-0.026,1546389000000
"2019-01-02 00:45:00","2019-01-02",-0.03,1546389900000
"2019-01-02 01:00:00","2019-01-02",-0.027,1546390800000
"2019-01-02 01:15:00","2019-01-02",-0.026,1546391700000
"2019-01-02 01:30:00","2019-01-02",-0.026,1546392600000
"2019-01-02 01:45:00","2019-01-02",-0.028,1546393500000
"2019-01-02 02:00:00","2019-01-02",-0.026,1546394400000
"2019-01-02 02:15:00","2019-01-02",-0.026,1546395300000
"2019-01-02 02:30:00","2019-01-02",-0.026,1546396200000
"2019-01-02 02:45:00","2019-01-02",-0.026,1546397100000
"2019-01-02 03:00:00","2019-01-02",-0.027,1546398000000
"2019-01-02 03:15:00","2019-01-02",-0.027,1546398900000
"2019-01-02 03:30:00","2019-01-02",-0.027,1546399800000
"2019-01-02 03:45:00","2019-01-02",-0.026,1546400700000
"2019-01-02 04:00:00","2019-01-02",-0.026,1546401600000
"2019-01-02 04:15:00","2019-01-02",-0.028,1546402500000
"2019-01-02 04:30:00","2019-01-02",-0.027,1546403400000
"2019-01-02 04:45:00","2019-01-02",-0.028,1546404300000
"2019-01-02 05:00:00","2019-01-02",-0.027,1546405200000
"2019-01-02 05:15:00","2019-01-02",-0.026,1546406100000
"2019-01-02 05:30:00","2019-01-02",-0.027,1546407000000
"2019-01-02 05:45:00","2019-01-02",-0.025,1546407900000
"2019-01-02 06:00:00","2019-01-02",-0.03,1546408800000
"2019-01-02 06:15:00","2019-01-02",-0.026,1546409700000
"2019-01-02 06:30:00","2019-01-02",-0.028,1546410600000
"2019-01-02 06:45:00","2019-01-02",-0.027,1546411500000
"2019-01-02 07:00:00","2019-01-02",-0.029,1546412400000
"2019-01-02 07:15:00","2019-01-02",-0.028,1546413300000
"2019-01-02 07:30:00","2019-01-02",-0.027,1546414200000
"2019-01-02 07:45:00","2019-01-02",-0.027,1546415100000
"2019-01-02 08:00:00","2019-01-02",-0.027,1546416000000
"2019-01-02 08:15:00","2019-01-02",-0.027,1546416900000
"2019-01-02 08:30:00","2019-01-02",-0.028,1546417800000
"2019-01-02 08:45:00","2019-01-02",-0.031,1546418700000
"2019-01-02 09:00:00","2019-01-02",-0.031,1546419600000
"2019-01-02 09:15:00","2019-01-02",-0.027,1546420500000
"2019-01-02 09:30:00","2019-01-02",-0.03,1546421400000
"2019-01-02 09:45:00","2019-01-02",-0.002,1546422300000
"2019-01-02 10:00:00","2019-01-02",0.011,1546423200000
"2019-01-02 10:15:00","2019-01-02",0.02,1546424100000
"2019-01-02 10:30:00","2019-01-02",0.021,1546425000000
"2019-01-02 10:45:00","2019-01-02",0.022,1546425900000
"2019-01-02 11:00:00","2019-01-02",0.024,1546426800000
"2019-01-02 11:15:00","2019-01-02",0.03,1546427700000
"2019-01-02 11:30:00","2019-01-02",0.033,1546428600000
"2019-01-02 11:45:00","2019-01-02",0.036,1546429500000
"2019-01-02 12:00:00","2019-01-02",0.038,1546430400000
"2019-01-02 12:15:00","2019-01-02",0.04,1546431300000
"2019-01-02 12:30:00","2019-01-02",0.042,1546432200000
"2019-01-02 12:45:00","2019-01-02",0.044,1546433100000
"2019-01-02 13:00:00","2019-01-02",0.043,1546434000000
"2019-01-02 13:15:00","2019-01-02",0.044,1546434900000
"2019-01-02 13:30:00","2019-01-02",0.047,1546435800000
"2019-01-02 13:45:00","2019-01-02",0.048,1546436700000
"2019-01-02 14:00:00","2019-01-02",0.051,1546437600000
