"datetime","date","level-i-900-m-qualified","epoch"
"2021-01-02 00:00:00","2021-01-02",0.85,1609545600000
"2021-01-02 00:15:00","2021-01-02",0.845,1609546500000
"2021-01-02 00:30:00","2021-01-02",0.846,1609547400000
"2021-01-02 00:45:00","2021-01-02",0.845,1609548300000
"2021-01-02 01:00:00","2021-01-02",0.842,1609549200000
"2021-01-02 01:15:00","2021-01-02",0.842,1609550100000
"2021-01-02 01:30:00","2021-01-02",0.843,1609551000000
"2021-01-02 01:45:00","2021-01-02",0.844,1609551900000
"2021-01-02 02:00:00","2021-01-02",0.839,1609552800000
"2021-01-02 02:15:00","2021-01-02",0.839,1609553700000
"2021-01-02 02:30:00","2021-01-02",0.837,1609554600000
"2021-01-02 02:45:00","2021-01-02",0.836,1609555500000
"2021-01-02 03:00:00","2021-01-02",0.841,1609556400000
"2021-01-02 03:15:00","2021-01-02",0.837,1609557300000
"2021-01-02 03:30:00","2021-01-02",0.833,1609558200000
"2021-01-02 03:45:00","2021-01-02",0.833,1609559100000
"2021-01-02 04:00:00","2021-01-02",0.833,1609560000000
"2021-01-02 04:15:00","2021-01-02",0.831,1609560900000
"2021-01-02 04:30:00","2021-01-02",0.833,1609561800000
"2021-01-02 04:45:00","2021-01-02",0.833,1609562700000
"2021-01-02 05:00:00","2021-01-02",0.828,1609563600000
"2021-01-02 05:15:00","2021-01-02",0.829,1609564500000
"2021-01-02 05:30:00","2021-01-02",0.829,1609565400000
"2021-01-02 05:45:00","2021-01-02",0.824,1609566300000
"2021-01-02 06:00:00","2021-01-02",0.825,1609567200000
"2021-01-02 06:15:00","2021-01-02",0.823,1609568100000
"2021-01-02 06:30:00","2021-01-02",0.824,1609569000000
"2021-01-02 06:45:00","2021-01-02",0.822,1609569900000
"2021-01-02 07:00:00","2021-01-02",0.822,1609570800000
"2021-01-02 07:15:00","2021-01-02",0.82,1609571700000
"2021-01-02 07:30:00","2021-01-02",0.817,1609572600000
"2021-01-02 07:45:00","2021-01-02",0.82,1609573500000
"2021-01-02 08:00:00","2021-01-02",0.822,1609574400000
"2021-01-02 08:15:00","2021-01-02",0.819,1609575300000
"2021-01-02 08:30:00","2021-01-02",0.812,1609576200000
"2021-01-02 08:45:00","2021-01-02",0.817,1609577100000
"2021-01-02 09:00:00","2021-01-02",0.816,1609578000000
"2021-01-02 09:15:00","2021-01-02",0.812,1609578900000
"2021-01-02 09:30:00","2021-01-02",0.811,1609579800000
"2021-01-02 09:45:00","2021-01-02",0.814,1609580700000
"2021-01-02 10:00:00","2021-01-02",0.809,1609581600000
"2021-01-02 10:15:00","2021-01-02",0.808,1609582500000
"2021-01-02 10:30:00","2021-01-02",0.807,1609583400000
"2021-01-02 10:45:00","2021-01-02",0.807,1609584300000
"2021-01-02 11:00:00","2021-01-02",0.806,1609585200000
"2021-01-02 11:15:00","2021-01-02",0.804,1609586100000
"2021-01-02 11:30:00","2021-01-02",0.803,1609587000000
"2021-01-02 11:45:00","2021-01-02",0.802,1609587900000
"2021-01-02 12:00:00","2021-01-02",0.802,1609588800000
"2021-01-02 12:15:00","2021-01-02",0.803,1609589700000
"2021-01-02 12:30:00","2021-01-02",0.801,1609590600000
"2021-01-02 12:45:00","2021-01-02",0.796,1609591500000
"2021-01-02 13:00:00","2021-01-02",0.798,1609592400000
"2021-01-02 13:15:00","2021-01-02",0.799,1609593300000
"2021-01-02 13:30:00","2021-01-02",0.796,1609594200000
"2021-01-02 13:45:00","2021-01-02",0.794,1609595100000
"2021-01-02 14:00:00","2021-01-02",0.797,1609596000000
"2021-01-02 14:15:00","2021-01-02",0.793,1609596900000
"2021-01-02 14:30:00","2021-01-02",0.791,1609597800000
"2021-01-02 14:45:00","2021-01-02",0.793,1609598700000
"2021-01-02 15:00:00","2021-01-02",0.792,1609599600000
"2021-01-02 15:15:00","2021-01-02",0.791,1609600500000
"2021-01-02 15:30:00","2021-01-02",0.788,1609601400000
"2021-01-02 15:45:00","2021-01-02",0.788,1609602300000
"2021-01-02 16:00:00","2021-01-02",0.784,1609603200000
"2021-01-02 16:15:00","2021-01-02",0.785,1609604100000
"2021-01-02 16:30:00","2021-01-02",0.786,1609605000000
"2021-01-02 16:45:00","2021-01-02",0.78,1609605900000
"2021-01-02 17:00:00","2021-01-02",0.781,1609606800000
"2021-01-02 17:15:00","2021-01-02",0.784,1609607700000
"2021-01-02 17:30:00","2021-01-02",0.779,1609608600000
"2021-01-02 17:45:00","2021-01-02",0.778,1609609500000
"2021-01-02 18:00:00","2021-01-02",0.776,1609610400000
"2021-01-02 18:15:00","2021-01-02",0.776,1609611300000
"2021-01-02 18:30:00","2021-01-02",0.775,1609612200000
"2021-01-02 18:45:00","2021-01-02",0.775,1609613100000
"2021-01-02 19:00:00","2021-01-02",0.769,1609614000000
"2021-01-02 19:15:00","2021-01-02",0.772,1609614900000
"2021-01-02 19:30:00","2021-01-02",0.774,1609615800000
"2021-01-02 19:45:00","2021-01-02",0.772,1609616700000
"2021-01-02 20:00:00","2021-01-02",0.771,1609617600000
"2021-01-02 20:15:00","2021-01-02",0.769,1609618500000
"2021-01-02 20:30:00","2021-01-02",0.769,1609619400000
"2021-01-02 20:45:00","2021-01-02",0.77,1609620300000
"2021-01-02 21:00:00","2021-01-02",0.767,1609621200000
"2021-01-02 21:15:00","2021-01-02",0.768,1609622100000
"2021-01-02 21:30:00","2021-01-02",0.76,1609623000000
"2021-01-02 21:45:00","2021-01-02",0.763,1609623900000
"2021-01-02 22:00:00","2021-01-02",0.762,1609624800000
"2021-01-02 22:15:00","2021-01-02",0.759,1609625700000
"2021-01-02 22:30:00","2021-01-02",0.761,1609626600000
"2021-01-02 22:45:00","2021-01-02",0.754,1609627500000
"2021-01-02 23:00:00","2021-01-02",0.754,1609628400000
"2021-01-02 23:15:00","2021-01-02",0.754,1609629300000
"2021-01-02 23:30:00","2021-01-02",0.758,1609630200000
"2021-01-02 23:45:00","2021-01-02",0.755,1609631100000
"2021-01-03 00:00:00","2021-01-03",0.75,1609632000000
"2021-01-03 00:15:00","2021-01-03",0.753,1609632900000
"2021-01-03 00:30:00","2021-01-03",0.75,1609633800000
"2021-01-03 00:45:00","2021-01-03",0.747,1609634700000
"2021-01-03 01:00:00","2021-01-03",0.75,1609635600000
"2021-01-03 01:15:00","2021-01-03",0.749,1609636500000
"2021-01-03 01:30:00","2021-01-03",0.746,1609637400000
"2021-01-03 01:45:00","2021-01-03",0.739,1609638300000
"2021-01-03 02:00:00","2021-01-03",0.741,1609639200000
"2021-01-03 02:15:00","2021-01-03",0.741,1609640100000
"2021-01-03 02:30:00","2021-01-03",0.738,1609641000000
"2021-01-03 02:45:00","2021-01-03",0.741,1609641900000
"2021-01-03 03:00:00","2021-01-03",0.737,1609642800000
"2021-01-03 03:15:00","2021-01-03",0.738,1609643700000
"2021-01-03 03:30:00","2021-01-03",0.735,1609644600000
"2021-01-03 03:45:00","2021-01-03",0.734,1609645500000
"2021-01-03 04:00:00","2021-01-03",0.737,1609646400000
"2021-01-03 04:15:00","2021-01-03",0.735,1609647300000
"2021-01-03 04:30:00","2021-01-03",0.732,1609648200000
"2021-01-03 04:45:00","2021-01-03",0.725,1609649100000
"2021-01-03 05:00:00","2021-01-03",0.728,1609650000000
"2021-01-03 05:15:00","2021-01-03",0.729,1609650900000
"2021-01-03 05:30:00","2021-01-03",0.721,1609651800000
"2021-01-03 05:45:00","2021-01-03",0.727,1609652700000
"2021-01-03 06:00:00","2021-01-03",0.725,1609653600000
"2021-01-03 06:15:00","2021-01-03",0.718,1609654500000
"2021-01-03 06:30:00","2021-01-03",0.721,1609655400000
"2021-01-03 06:45:00","2021-01-03",0.718,1609656300000
"2021-01-03 07:00:00","2021-01-03",0.718,1609657200000
"2021-01-03 07:15:00","2021-01-03",0.723,1609658100000
"2021-01-03 07:30:00","2021-01-03",0.72,1609659000000
"2021-01-03 07:45:00","2021-01-03",0.721,1609659900000
"2021-01-03 08:00:00","2021-01-03",0.712,1609660800000
"2021-01-03 08:15:00","2021-01-03",0.713,1609661700000
"2021-01-03 08:30:00","2021-01-03",0.712,1609662600000
"2021-01-03 08:45:00","2021-01-03",0.713,1609663500000
"2021-01-03 09:00:00","2021-01-03",0.711,1609664400000
"2021-01-03 09:15:00","2021-01-03",0.707,1609665300000
"2021-01-03 09:30:00","2021-01-03",0.706,1609666200000
"2021-01-03 09:45:00","2021-01-03",0.705,1609667100000
"2021-01-03 10:00:00","2021-01-03",0.705,1609668000000
"2021-01-03 10:15:00","2021-01-03",0.701,1609668900000
"2021-01-03 10:30:00","2021-01-03",0.703,1609669800000
"2021-01-03 10:45:00","2021-01-03",0.697,1609670700000
"2021-01-03 11:00:00","2021-01-03",0.696,1609671600000
"2021-01-03 11:15:00","2021-01-03",0.693,1609672500000
"2021-01-03 11:30:00","2021-01-03",0.697,1609673400000
"2021-01-03 11:45:00","2021-01-03",0.696,1609674300000
"2021-01-03 12:00:00","2021-01-03",0.699,1609675200000
"2021-01-03 12:15:00","2021-01-03",0.69,1609676100000
"2021-01-03 12:30:00","2021-01-03",0.685,1609677000000
"2021-01-03 12:45:00","2021-01-03",0.69,1609677900000
"2021-01-03 13:00:00","2021-01-03",0.687,1609678800000
