"datetime","date","level-i-900-m-qualified","epoch"
"2021-01-02 00:00:00","2021-01-02",0.058,1609545600000
"2021-01-02 00:15:00","2021-01-02",0.055,1609546500000
"2021-01-02 00:30:00","2021-01-02",0.053,1609547400000
"2021-01-02 00:45:00","2021-01-02",0.051,1609548300000
"2021-01-02 01:00:00","2021-01-02",0.053,1609549200000
"2021-01-02 01:15:00","2021-01-02",0.048,1609550100000
"2021-01-02 01:30:00","2021-01-02",0.05,1609551000000
"2021-01-02 01:45:00","2021-01-02",0.052,1609551900000
"2021-01-02 02:00:00","2021-01-02",0.049,1609552800000
"2021-01-02 02:15:00","2021-01-02",0.054,1609553700000
"2021-01-02 02:30:00","2021-01-02",0.063,1609554600000
"2021-01-02 02:45:00","2021-01-02",0.071,1609555500000
"2021-01-02 03:00:00","2021-01-02",0.087,1609556400000
"2021-01-02 03:15:00","2021-01-02",0.11,1609557300000
"2021-01-02 03:30:00","2021-01-02",0.15,1609558200000
"2021-01-02 03:45:00","2021-01-02",0.204,1609559100000
"2021-01-02 04:00:00","2021-01-02",0.277,1609560000000
"2021-01-02 04:15:00","2021-01-02",0.355,1609560900000
"2021-01-02 04:30:00","2021-01-02",0.412,1609561800000
"2021-01-02 04:45:00","2021-01-02",0.428,1609562700000
"2021-01-02 05:00:00","2021-01-02",0.402,1609563600000
"2021-01-02 05:15:00","2021-01-02",0.363,1609564500000
"2021-01-02 05:30:00","2021-01-02",0.315,1609565400000
"2021-01-02 05:45:00","2021-01-02",0.273,1609566300000
"2021-01-02 06:00:00","2021-01-02",0.236,1609567200000
"2021-01-02 06:15:00","2021-01-02",0.201,1609568100000
"2021-01-02 06:30:00","2021-01-02",0.175,1609569000000
"2021-01-02 06:45:00","2021-01-02",0.153,1609569900000
"2021-01-02 07:00:00","2021-01-02",0.14,1609570800000
"2021-01-02 07:15:00","2021-01-02",0.124,1609571700000
"2021-01-02 07:30:00","2021-01-02",0.116,1609572600000
"2021-01-02 07:45:00","2021-01-02",0.106,1609573500000
"2021-01-02 08:00:00","2021-01-02",0.098,1609574400000
"2021-01-02 08:15:00","2021-01-02",0.092,1609575300000
"2021-01-02 08:30:00","2021-01-02",0.088,1609576200000
"2021-01-02 08:45:00","2021-01-02",0.083,1609577100000
"2021-01-02 09:00:00","2021-01-02",0.078,1609578000000
"2021-01-02 09:15:00","2021-01-02",0.077,1609578900000
"2021-01-02 09:30:00","2021-01-02",0.058,1609579800000
"2021-01-02 09:45:00","2021-01-02",0.037,1609580700000
"2021-01-02 10:00:00","2021-01-02",0.028,1609581600000
"2021-01-02 10:15:00","2021-01-02",0.02,1609582500000
"2021-01-02 10:30:00","2021-01-02",0.018,1609583400000
"2021-01-02 10:45:00","2021-01-02",0.021,1609584300000
"2021-01-02 11:00:00","2021-01-02",0.025,1609585200000
"2021-01-02 11:15:00","2021-01-02",0.03,1609586100000
"2021-01-02 11:30:00","2021-01-02",0.036,1609587000000
"2021-01-02 11:45:00","2021-01-02",0.082,1609587900000
"2021-01-02 12:00:00","2021-01-02",0.1,1609588800000
"2021-01-02 12:15:00","2021-01-02",0.115,1609589700000
"2021-01-02 12:30:00","2021-01-02",0.123,1609590600000
"2021-01-02 12:45:00","2021-01-02",0.129,1609591500000
"2021-01-02 13:00:00","2021-01-02",0.137,1609592400000
"2021-01-02 13:15:00","2021-01-02",0.139,1609593300000
"2021-01-02 13:30:00","2021-01-02",0.142,1609594200000
"2021-01-02 13:45:00","2021-01-02",0.145,1609595100000
"2021-01-02 14:00:00","2021-01-02",0.142,1609596000000
"2021-01-02 14:15:00","2021-01-02",0.121,1609596900000
"2021-01-02 14:30:00","2021-01-02",0.093,1609597800000
"2021-01-02 14:45:00","2021-01-02",0.086,1609598700000
"2021-01-02 15:00:00","2021-01-02",0.09,1609599600000
"2021-01-02 15:15:00","2021-01-02",0.093,1609600500000
"2021-01-02 15:30:00","2021-01-02",0.101,1609601400000
"2021-01-02 15:45:00","2021-01-02",0.122,1609602300000
"2021-01-02 16:00:00","2021-01-02",0.177,1609603200000
"2021-01-02 16:15:00","2021-01-02",0.272,1609604100000
"2021-01-02 16:30:00","2021-01-02",0.375,1609605000000
"2021-01-02 16:45:00","2021-01-02",0.46,1609605900000
"2021-01-02 17:00:00","2021-01-02",0.512,1609606800000
"2021-01-02 17:15:00","2021-01-02",0.512,1609607700000
"2021-01-02 17:30:00","2021-01-02",0.472,1609608600000
"2021-01-02 17:45:00","2021-01-02",0.419,1609609500000
"2021-01-02 18:00:00","2021-01-02",0.362,1609610400000
"2021-01-02 18:15:00","2021-01-02",0.309,1609611300000
"2021-01-02 18:30:00","2021-01-02",0.263,1609612200000
"2021-01-02 18:45:00","2021-01-02",0.222,1609613100000
"2021-01-02 19:00:00","2021-01-02",0.192,1609614000000
"2021-01-02 19:15:00","2021-01-02",0.168,1609614900000
"2021-01-02 19:30:00","2021-01-02",0.145,1609615800000
"2021-01-02 19:45:00","2021-01-02",0.131,1609616700000
"2021-01-02 20:00:00","2021-01-02",0.116,1609617600000
"2021-01-02 20:15:00","2021-01-02",0.106,1609618500000
"2021-01-02 20:30:00","2021-01-02",0.094,1609619400000
"2021-01-02 20:45:00","2021-01-02",0.084,1609620300000
"2021-01-02 21:00:00","2021-01-02",0.076,1609621200000
"2021-01-02 21:15:00","2021-01-02",0.072,1609622100000
"2021-01-02 21:30:00","2021-01-02",0.063,1609623000000
"2021-01-02 21:45:00","2021-01-02",0.055,1609623900000
"2021-01-02 22:00:00","2021-01-02",0.048,1609624800000
"2021-01-02 22:15:00","2021-01-02",0.045,1609625700000
"2021-01-02 22:30:00","2021-01-02",0.013,1609626600000
"2021-01-02 22:45:00","2021-01-02",0.015,1609627500000
"2021-01-02 23:00:00","2021-01-02",0.053,1609628400000
"2021-01-02 23:15:00","2021-01-02",0.056,1609629300000
"2021-01-02 23:30:00","2021-01-02",0.059,1609630200000
"2021-01-02 23:45:00","2021-01-02",0.062,1609631100000
